doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,【第一场】,奸情,情爱,1,张文远；阎惜姣,张文远私会阎惜姣，二人调情叙旧，阎惜姣告知母亲生日，张文远欲亲热，阎惜姣假意推拒后应允，二人关系暧昧。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,【第一场】,背叛,背叛,1,张文远；阎惜姣,张文远私会阎惜姣，二人调情叙旧，阎惜姣告知母亲生日，张文远欲亲热，阎惜姣假意推拒后应允，二人关系暧昧。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,1,【第一场】,【第一场】,私通,私通,1,张文远；阎惜姣,张文远私会阎惜姣，二人调情叙旧，阎惜姣告知母亲生日，张文远欲亲热，阎惜姣假意推拒后应允，二人关系暧昧。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,【第二场】,情欲与背叛,情爱,1,众人；宋江；张文远；阎惜姣,宋江来到阎惜姣处，阎惜姣态度冷淡，藏匿张文远，宋江察觉异常但未点破，二人言语交锋，阎惜姣借故推脱。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,【第二场】,权力与地位,权力与地位,1,众人；宋江；张文远；阎惜姣,宋江来到阎惜姣处，阎惜姣态度冷淡，藏匿张文远，宋江察觉异常但未点破，二人言语交锋，阎惜姣借故推脱。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,2,【第二场】,【第二场】,猜疑与欺骗,猜疑与欺骗,1,众人；宋江；张文远；阎惜姣,宋江来到阎惜姣处，阎惜姣态度冷淡，藏匿张文远，宋江察觉异常但未点破，二人言语交锋，阎惜姣借故推脱。,llm
pdf_01000000__01001020___4ed03adea1,宋江闹院,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《宋江闹院》,keyword
pdf_01000000__01001020___4ed03adea1,宋江闹院,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《宋江闹院》,keyword
pdf_01000000__01001020___4ed03adea1,宋江闹院,0,序幕/前置内容,序幕/前置内容,喜剧,喜剧,1,,# 《宋江闹院》,keyword
pdf_01000000__01001020___4ed03adea1,宋江闹院,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《宋江闹院》,keyword
