doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000001,pdf_01000000__01002001___d30790f7a7__scene__000,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《李陵碑》 （一名：《两狼山》；一名：《苏武庙》）,,,,,,,1,,,,# 《李陵碑》 （一名：《两狼山》；一名：《苏武庙》）
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000019,pdf_01000000__01002001___d30790f7a7__scene__001,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,19,stage_direction,stage_direction,,,杨延嗣上。,,,,,,,上,0,,,,（杨延嗣上。）
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000021,pdf_01000000__01002001___d30790f7a7__scene__001,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,21,dialogue,dialogue,杨延嗣,pdf_01000000__01002001___d30790f7a7__char__179bfbd753,引子,"赤胆忠心,只落得,青史名标。",,,悲,陈述,,,0,llm,,0.8,"杨延嗣（引子）赤胆忠心,只落得,青史名标。"
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000025,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,25,stage_direction,stage_direction,,,杨继业上。,,,,,,,上,0,,,,（杨继业上。）
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000027,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,杨继业,pdf_01000000__01002001___d30790f7a7__char__34724330da,二黄导板,"金乌坠玉免升黄昏时候,",杨延嗣,pdf_01000000__01002001___d30790f7a7__char__179bfbd753,平,陈述,,,1,llm,rule,0.8,"杨继业（二黄导板）金乌坠玉免升黄昏时候,"
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000029,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,29,stage_direction,stage_direction,,,杨延昭上。,,,,,,,上,0,,,,（杨延昭上。）
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000031,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,31,narration,narration,,,,"杨延昭(二黄摇板) 听谯楼打罢了二更时分,杨延昭倒做了巡营之人。迈步儿且把那宝帐来进,又只见老爹爹瞌睡沉沉。",杨延昭,pdf_01000000__01002001___d30790f7a7__char__359f37dcab,,,杨延昭,进；来；打,1,,rule,,"<table><tr><td>杨延昭(二黄摇板)</td><td>听谯楼打罢了二更时分,杨延昭倒做了巡营之人。迈步儿且把那宝帐来进,又只见老爹爹瞌睡沉沉。</td></tr></table>"
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000033,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,33,stage_direction,stage_direction,,,杨延嗣上。,,,,,,,上,0,,,,（杨延嗣上。）
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000035,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,35,narration,narration,,,,"杨延嗣 (二黄原板) 听谯楼打罢了三更时分,半空中来了我七郎阴魂。叫鬼卒驾阴风宝帐来进,",杨延嗣,pdf_01000000__01002001___d30790f7a7__char__179bfbd753,,,杨延嗣,进；来；叫；打,1,,rule,,"<table><tr><td>杨延嗣</td><td>(二黄原板)</td><td>听谯楼打罢了三更时分,半空中来了我七郎阴魂。叫鬼卒驾阴风宝帐来进,</td></tr></table>"
pdf_01000000__01002001___d30790f7a7,李陵碑,pdf_01000000__01002001___d30790f7a7__line__000037,pdf_01000000__01002001___d30790f7a7__scene__002,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,37,dialogue,dialogue,杨继业,pdf_01000000__01002001___d30790f7a7__char__34724330da,二黄原板,"我这里将他的忠魂惊醒,猛抬头又只见七郎姣生。我命你回大营颁兵求救,为什么哭啼啼头带雕翎?恨不得下位去将儿抱定,",,,紧张,,,下；去；命；哭；惊,1,rule,,,"杨继业（二黄原板）我这里将他的忠魂惊醒,猛抬头又只见七郎姣生。我命你回大营颁兵求救,为什么哭啼啼头带雕翎?恨不得下位去将儿抱定,"
