doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨继业,杨延嗣,对话/应答,对话,1,"我这里将他的忠魂惊醒,猛抬头又只见七郎姣生。我命你回大营颁兵求救,为什么哭啼啼头带雕翎?恨不得下位去将儿抱定,",pdf_01000000__01002001___d30790f7a7__line__000037,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨延嗣,杨继业,对话/应答,对话,1,"老爹爹休贪睡细听分明:金沙滩打一仗父子被困,老爹爹命孩儿回朝颁兵。潘洪贼想起了打子仇恨,他将我绑芭蕉乱箭穿身。回头来又对六兄论,小弟言来听分明:高堂老母要你孝敬",pdf_01000000__01002001___d30790f7a7__line__000037,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨继业,杨延昭,对话/应答,对话,3,"适才间梦见了七郎来临,呀!又只见六郎儿瞌睡沉沉。六郎儿醒来!",pdf_01000000__01002001___d30790f7a7__line__000037,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨延昭,杨继业,对话/应答,对话,3,"适才间梦见了七弟来临,又只见老爹爹面前存。爹爹,适才睡梦之中,观见七弟浑身是血,头带雕翎。不知是何缘故?为父亦得此兆。这才是“梦梦相同,必有凶险”。我亦有意,命",pdf_01000000__01002001___d30790f7a7__line__000037,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,3,【第三场】,耶律休,杨延昭,对话/应答,对话,2,俺奉太后之命，巡营了哨。就此前往。呔！,pdf_01000000__01002001___d30790f7a7__line__000043,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,3,【第三场】,杨延昭,耶律休,对话/应答,对话,1,何人挡住某家去路？,pdf_01000000__01002001___d30790f7a7__line__000047,adjacency,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨继业,杨延嗣,提及,提及,3,我命你回大营颁兵求救，为什么哭啼啼头带雕翎？,,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨延嗣,杨继业,汇报,汇报,3,潘洪贼想起了打子仇恨，他将我绑芭蕉乱箭穿身。,,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨继业,杨延昭,命令,命令,7,命你回朝探听七弟下落。,pdf_01000000__01002001___d30790f7a7__line__000037,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,2,【第二场】,杨延昭,杨继业,劝阻,劝阻,2,爹爹年迈，孩儿放心不下。,,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,3,【第三场】,耶律休,杨延昭,对抗,对抗,1,耶律休要取杨延昭的狗命,,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,3,【第三场】,杨延昭,耶律休,对抗,对抗,1,杨延昭与耶律休开打并击败对方,,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,5,【第五场】,杨继业,四老军,命令,命令,2,叫老军抬过了定宋刀，忙把路找。,pdf_01000000__01002001___d30790f7a7__line__000193,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,5,【第五场】,探子,杨继业,汇报,汇报,1,胡儿把战马绞倒！,pdf_01000000__01002001___d30790f7a7__line__000185,llm,
pdf_01000000__01002001___d30790f7a7,李陵碑,5,【第五场】,杨继业,探子,命令,命令,1,再探！,pdf_01000000__01002001___d30790f7a7__line__000187,llm,
