doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01002003___ad1a817c3c,祭长江,1,【第一场】,【第一场】,哀悼,悲情,1,孙尚香,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,1,【第一场】,【第一场】,夫妻情义,忠义,1,孙尚香,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,1,【第一场】,【第一场】,命运无常,使命,1,孙尚香,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,2,【第二场】,【第二场】,贞烈,贞烈,1,孙尚香；龙王,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,2,【第二场】,【第二场】,封神,封神,1,孙尚香；龙王,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,2,【第二场】,【第二场】,因果报应,因果报应,1,孙尚香；龙王,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《祭长江》；# （一名：《祭江》）,keyword
