doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01002003___ad1a817c3c,祭长江,亲情,1,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,使命,1,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,因果报应,1,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,家国,1,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,封神,1,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,忠义,1,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,悲情,1,孙尚香在江边设祭，追忆与刘备的夫妻情缘，哭诉刘备一生坎坷及兵败白帝城的悲剧，表达哀痛与绝望。,llm
pdf_01000000__01002003___ad1a817c3c,祭长江,战争,1,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,权谋,1,# 《祭长江》；# （一名：《祭江》）,keyword
pdf_01000000__01002003___ad1a817c3c,祭长江,贞烈,1,孙尚香接玉帝圣旨，因其为夫投江尽节，被封为枭姬娘娘，随后准备朝见玉帝。,llm
