doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002005___3f3e3fbcf3,落花园,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,忠义,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002005___3f3e3fbcf3,落花园,战争,权谋,1,序幕/前置内容,scene_cooccurrence
