doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000001,pdf_01000000__01002008___7e0325cb8b__scene__000,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,说明,,,《八义图》,# 《八义图》,# 《八义图》
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000003,pdf_01000000__01002008___7e0325cb8b__scene__000,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,3,narration,narration,,,,说明,,,程婴,# （一名：《搜孤救孤》；一名：《程婴舍子》）,# （一名：《搜孤救孤》；一名：《程婴舍子》）
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,公孙杵臼,pdf_01000000__01002008___7e0325cb8b__char__6746e5781f,引子,对白,引子,,公孙杵臼,"赵屠结怨恨,恨奸贼,何日罢休。","公孙杵臼（引子）赵屠结怨恨,恨奸贼,何日罢休。"
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,程婴,pdf_01000000__01002008___7e0325cb8b__char__58587740c4,内白,白,内白,走；念白,程婴,走吓!,程婴（内白）走吓!
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,程婴,pdf_01000000__01002008___7e0325cb8b__char__58587740c4,二黄摇板,唱,二黄摇板,传；令,程婴,"适才屠贼传一令,要害晋国众儿孙。","程婴（二黄摇板）适才屠贼传一令,要害晋国众儿孙。"
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,公孙杵臼,pdf_01000000__01002008___7e0325cb8b__char__6746e5781f,白,白,白,念白,公孙杵臼,哪一个?,公孙杵臼（白）哪一个?
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,程婴,pdf_01000000__01002008___7e0325cb8b__char__58587740c4,白,白,白,来；念白,程婴,小弟来了。,程婴（白）小弟来了。
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,公孙杵臼,pdf_01000000__01002008___7e0325cb8b__char__6746e5781f,白,白,白,进；请；念白,公孙杵臼,请进。,公孙杵臼（白）请进。
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,程婴,pdf_01000000__01002008___7e0325cb8b__char__58587740c4,白,白,白,念白,程婴,"晋国之中,又出了一种奇事。","程婴（白）晋国之中,又出了一种奇事。"
pdf_01000000__01002008___7e0325cb8b,八义图,pdf_01000000__01002008___7e0325cb8b__line__000023,pdf_01000000__01002008___7e0325cb8b__scene__001,01002008_八义图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002008_八义图.pdf,01000000/01002008_八义图.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,公孙杵臼,pdf_01000000__01002008___7e0325cb8b__char__6746e5781f,白,白,白,念白,公孙杵臼,什么奇事?,公孙杵臼（白）什么奇事?
