doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,公孙杵臼,程婴,对话/应答,对话,15,"赵屠结怨恨,恨奸贼,何日罢休。",pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,程婴,公孙杵臼,对话/应答,对话,14,"适才屠贼传一令,要害晋国众儿孙。",pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,公孙杵臼,程妻,对话/应答,对话,6,"但愿救得忠良后,满斗焚香谢神灵。",pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,程妻,程婴,对话/应答,对话,18,"仗义救孤身,妻随夫志行。",pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,程婴,程妻,对话/应答,对话,19,"大事安排定,劝妻舍亲生。",pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,程妻,公孙杵臼,对话/应答,对话,6,用手带上小房门。,pdf_01000000__01002008___7e0325cb8b__line__000023,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,公孙杵臼,程婴,提及,提及,1,"又与程婴把计定,不知他心与我心。",pdf_01000000__01002008___7e0325cb8b__line__000023,mention,
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,屠岸贾,龙套,对话/应答,对话,4,"斩草不除根,萌芽依旧生。",pdf_01000000__01002008___7e0325cb8b__line__000031,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,龙套,屠岸贾,对话/应答,对话,3,有人击鼓。,pdf_01000000__01002008___7e0325cb8b__line__000031,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,龙套,程婴,对话/应答,对话,1,击鼓人上堂。,pdf_01000000__01002008___7e0325cb8b__line__000031,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,程婴,屠岸贾,对话/应答,对话,14,来了。参见大人。,pdf_01000000__01002008___7e0325cb8b__line__000031,adjacency,
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,屠岸贾,程婴,对话/应答,对话,12,哇!为何擅击老夫堂鼓?,pdf_01000000__01002008___7e0325cb8b__line__000031,adjacency,
