doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,权谋,2,【第三场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,牺牲,2,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,救孤,1,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,牺牲,1,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,伪装,复仇,1,【第四场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,伪装,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,伪装,牺牲,1,【第四场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,复仇,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,复仇,牺牲,1,【第四场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,救孤,1,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,牺牲与迫害,1,【第三场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,救孤,牺牲,1,【第一场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,权谋,牺牲与迫害,1,【第三场】,scene_cooccurrence
pdf_01000000__01002008___7e0325cb8b,八义图,权谋,离散,1,序幕/前置内容,scene_cooccurrence
