doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,【第一场】,忠义,忠义,1,公孙杵臼；程妻；程婴,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,【第一场】,牺牲,牺牲,1,公孙杵臼；程妻；程婴,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,【第一场】,家庭伦理,亲情,1,公孙杵臼；程妻；程婴,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,1,【第一场】,【第一场】,救孤,救孤,1,公孙杵臼；程妻；程婴,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,【第三场】,忠义与背叛,忠义,1,二龙套；公孙杵臼；四龙套；屠岸贾；程婴,程婴向屠岸贾告密孤儿藏于公孙杵臼家，屠岸贾抓捕公孙杵臼并拷问，最终搜出孤儿，将公孙杵臼和孤儿绑赴法场。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,【第三场】,牺牲与迫害,牺牲与迫害,1,二龙套；公孙杵臼；四龙套；屠岸贾；程婴,程婴向屠岸贾告密孤儿藏于公孙杵臼家，屠岸贾抓捕公孙杵臼并拷问，最终搜出孤儿，将公孙杵臼和孤儿绑赴法场。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,2,【第三场】,【第三场】,权力与阴谋,权谋,1,二龙套；公孙杵臼；四龙套；屠岸贾；程婴,程婴向屠岸贾告密孤儿藏于公孙杵臼家，屠岸贾抓捕公孙杵臼并拷问，最终搜出孤儿，将公孙杵臼和孤儿绑赴法场。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,3,【第四场】,【第四场】,牺牲,牺牲,1,公孙杵臼；四龙套；屠岸贾；程婴,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,3,【第四场】,【第四场】,复仇,复仇,1,公孙杵臼；四龙套；屠岸贾；程婴,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,3,【第四场】,【第四场】,忠义,忠义,1,公孙杵臼；四龙套；屠岸贾；程婴,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,3,【第四场】,【第四场】,伪装,伪装,1,公孙杵臼；四龙套；屠岸贾；程婴,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
pdf_01000000__01002008___7e0325cb8b,八义图,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
pdf_01000000__01002008___7e0325cb8b,八义图,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
pdf_01000000__01002008___7e0325cb8b,八义图,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
pdf_01000000__01002008___7e0325cb8b,八义图,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
