doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01002008___7e0325cb8b,八义图,忠义,4,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,亲情,2,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,权谋,2,程婴向屠岸贾告密孤儿藏于公孙杵臼家，屠岸贾抓捕公孙杵臼并拷问，最终搜出孤儿，将公孙杵臼和孤儿绑赴法场。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,牺牲,2,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,伪装,1,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,复仇,1,程婴祭奠公孙杵臼，屠岸贾下令斩杀孤儿与公孙，程婴流泪被疑，以担忧儿子安全为由化解，屠岸贾收程婴之子为义子。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,家国,1,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
pdf_01000000__01002008___7e0325cb8b,八义图,救孤,1,程婴与公孙杵臼商议救孤，程婴提议舍子换孤，程妻起初拒绝，经公孙杵臼劝说后同意，程婴抢子离去。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,牺牲与迫害,1,程婴向屠岸贾告密孤儿藏于公孙杵臼家，屠岸贾抓捕公孙杵臼并拷问，最终搜出孤儿，将公孙杵臼和孤儿绑赴法场。,llm
pdf_01000000__01002008___7e0325cb8b,八义图,离散,1,# 《八义图》；# （一名：《搜孤救孤》；一名：《程婴舍子》）,keyword
