doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,亲情,家国,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,亲情,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,亲情,战争,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,亲情,离散,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,复仇,忠义,2,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,家国,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,家国,战争,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,家国,离散,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,情爱,战争,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,情爱,离散,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,战争,离散,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,困顿,复仇,1,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,困顿,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,困顿,结交,1,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,复仇,牺牲,1,【第四场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,复仇,知遇之恩,1,【第四场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,复仇,结交,1,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,宫廷,权力欲望,1,【第三场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,忠义,牺牲,1,【第四场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,忠义,知遇之恩,1,【第四场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,忠义,结交,1,【第二场】,scene_cooccurrence
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,牺牲,知遇之恩,1,【第四场】,scene_cooccurrence
