doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,2,【第二场】,【第二场】,孝义,忠义,1,专诸；专诸妻；伍员；牛二；老丈,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,2,【第二场】,【第二场】,复仇,复仇,1,专诸；专诸妻；伍员；牛二；老丈,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,2,【第二场】,【第二场】,结交,结交,1,专诸；专诸妻；伍员；牛二；老丈,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,2,【第二场】,【第二场】,困顿,困顿,1,专诸；专诸妻；伍员；牛二；老丈,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,3,【第三场】,【第三场】,权力欲望,权力欲望,1,太监甲；姬光,姬光在引子中表达对王位的渴望，随后命令太监甲带御林军并准备出行，为后续行动铺垫。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,3,【第三场】,【第三场】,宫廷斗争,宫廷,1,太监甲；姬光,姬光在引子中表达对王位的渴望，随后命令太监甲带御林军并准备出行，为后续行动铺垫。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,4,【第四场】,【第四场】,复仇,复仇,1,专诸；伍员；刘展雄；太监甲；姬光；孙武；被离,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,4,【第四场】,【第四场】,忠义,忠义,1,专诸；伍员；刘展雄；太监甲；姬光；孙武；被离,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,4,【第四场】,【第四场】,知遇之恩,知遇之恩,1,专诸；伍员；刘展雄；太监甲；姬光；孙武；被离,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,4,【第四场】,【第四场】,牺牲,牺牲,1,专诸；伍员；刘展雄；太监甲；姬光；孙武；被离,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,1,【第一场】,【第一场】,战争,战争,1,,,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,1,【第一场】,【第一场】,家国,家国,1,,,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,1,【第一场】,【第一场】,亲情,亲情,1,,,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,1,【第一场】,【第一场】,情爱,情爱,1,,,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,1,【第一场】,【第一场】,离散,离散,1,,,keyword
