doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,亲情,2,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,复仇,2,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,家国,2,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,忠义,2,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,情爱,2,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,战争,2,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,离散,2,# 《鱼肠剑》；# （一名：《子胥投吴》；一名：《吹箫乞食》）,keyword
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,困顿,1,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,宫廷,1,姬光在引子中表达对王位的渴望，随后命令太监甲带御林军并准备出行，为后续行动铺垫。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,权力欲望,1,姬光在引子中表达对王位的渴望，随后命令太监甲带御林军并准备出行，为后续行动铺垫。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,牺牲,1,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,知遇之恩,1,伍员街头吹箫遇姬光，被收留并推荐义弟专诸行刺王僚。孙武、被离献鱼肠剑，专诸愿舍命行刺，姬光承诺照顾其母。,llm
pdf_01000000__01002009___15e6fa6cec,鱼肠剑,结交,1,专诸因欠钱与牛二冲突，被母亲唤回；伍员闻老丈言专诸孝义，登门结交，二人结拜，共谋借吴兵伐楚复仇。,llm
