doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002011___1a9416b419,梅龙镇,1,【第一场】,正德帝,李凤姐,对话/应答,对话,111,"龙游芳草地,凤绕牡丹池。",pdf_01000000__01002011___1a9416b419__line__000019,adjacency,
pdf_01000000__01002011___1a9416b419,梅龙镇,1,【第一场】,李凤姐,正德帝,对话/应答,对话,111,"自幼儿生长在梅龙镇,兄妹卖酒度光阴。我哥哥他也曾对我论:他言道前边有一位军人。李凤姐端茶是客堂进,哟啐!",pdf_01000000__01002011___1a9416b419__line__000019,adjacency,
pdf_01000000__01002011___1a9416b419,梅龙镇,1,【第一场】,正德帝,李凤姐,提及,提及,2,"好一个李凤姐,呵呵!",pdf_01000000__01002011___1a9416b419__line__000019,mention,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,李凤姐,正德帝,对话/应答,对话,21,你就献宝。,pdf_01000000__01002011___1a9416b419__line__000027,adjacency,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,正德帝,李凤姐,对话/应答,对话,20,倘若无宝?,pdf_01000000__01002011___1a9416b419__line__000027,adjacency,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,李凤姐,正德帝,同场共现,同场共现,1,（正德帝、李凤姐同下。）,,stage_direction,
pdf_01000000__01002011___1a9416b419,梅龙镇,1,【第一场】,正德帝,李凤姐,试探,试探,3,正德帝以军爷身份询问姓名、赠银、欲入卧房。,,llm,
pdf_01000000__01002011___1a9416b419,梅龙镇,1,【第一场】,李凤姐,正德帝,劝阻,劝阻,2,李凤姐以‘男女授受不亲’拒绝正德帝进入卧房。,,llm,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,李凤姐,正德帝,试探,试探,2,前来讨封,pdf_01000000__01002011___1a9416b419__line__000027,llm,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,正德帝,李凤姐,命令,命令,2,凤姐听封,pdf_01000000__01002011___1a9416b419__line__000027,llm,
pdf_01000000__01002011___1a9416b419,梅龙镇,2,【第二场】,李凤姐,正德帝,协助,协助,1,有我,pdf_01000000__01002011___1a9416b419__line__000021,llm,
