doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,宫廷,情爱,1,【第二场】,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,宫廷,权力与身份,1,【第二场】,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,情爱,权力与身份,1,【第二场】,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,情爱,身份伪装,1,【第一场】,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,情爱,阶级差异,1,【第一场】,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002011___1a9416b419,梅龙镇,身份伪装,阶级差异,1,【第一场】,scene_cooccurrence
