doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01002011___1a9416b419,梅龙镇,情爱,2,正德帝微服至梅龙镇李凤姐酒店，以军爷身份试探调情，李凤姐机敏应对，二人言语交锋，正德帝借酒钱之名赠银，李凤姐以古画戏弄之。,llm
pdf_01000000__01002011___1a9416b419,梅龙镇,亲情,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,公案,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,喜剧,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,宫廷,1,李凤姐向正德帝讨封，正德帝以先前骂人之事刁难，最终封其为妃，并随其入卧房。,llm
pdf_01000000__01002011___1a9416b419,梅龙镇,家国,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,战争,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,权力与身份,1,李凤姐向正德帝讨封，正德帝以先前骂人之事刁难，最终封其为妃，并随其入卧房。,llm
pdf_01000000__01002011___1a9416b419,梅龙镇,权谋,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,离散,1,# 《梅龙镇》；# （一名：《游龙戏凤》；一名：《下江南》）,keyword
pdf_01000000__01002011___1a9416b419,梅龙镇,身份伪装,1,正德帝微服至梅龙镇李凤姐酒店，以军爷身份试探调情，李凤姐机敏应对，二人言语交锋，正德帝借酒钱之名赠银，李凤姐以古画戏弄之。,llm
pdf_01000000__01002011___1a9416b419,梅龙镇,阶级差异,1,正德帝微服至梅龙镇李凤姐酒店，以军爷身份试探调情，李凤姐机敏应对，二人言语交锋，正德帝借酒钱之名赠银，李凤姐以古画戏弄之。,llm
