doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000001,pdf_01000000__01002012___6c0f4ca58e__scene__000,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《白门楼》,,,,,,,0,,,,# 《白门楼》
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000023,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,stage_direction,stage_direction,,,四小军、刘备、关羽、张飞同上。,,,,,,,上,0,,,,（四小军、刘备、关羽、张飞同上。）
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000025,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,dialogue,dialogue,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,念,桃园义气结金兰，,,,平,陈述,,,0,llm,,0.7,刘备 （念） 桃园义气结金兰，
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000027,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,narration,narration,,,,关羽、,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,,,,,0,,rule,,关羽、
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000029,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,dialogue,dialogue,张飞,pdf_01000000__01002012___6c0f4ca58e__char__ed1bbee596,同念,保定汉室锦家邦。,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,平,陈述,,,0,llm,rule,0.7,张飞 （同念） 保定汉室锦家邦。
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000031,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,dialogue,dialogue,,,同白,大哥，,张飞,pdf_01000000__01002012___6c0f4ca58e__char__ed1bbee596,,,,念白,0,,rule,,（同白） 大哥，
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000033,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,dialogue,dialogue,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,白,贤弟，丞相发兵徐州，二位贤弟，同到辕门候令。,关羽,pdf_01000000__01002012___6c0f4ca58e__char__5c7e8bcc5a,平,命令,,令；念白,1,llm,llm,0.8,刘备 （白） 贤弟，丞相发兵徐州，二位贤弟，同到辕门候令。
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000035,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,narration,narration,,,,关羽、,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,,,,,0,,rule,,关羽、
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000037,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,张飞,pdf_01000000__01002012___6c0f4ca58e__char__ed1bbee596,同白,大哥请。带马。,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,平,请求,,请；念白,0,llm,llm,0.8,张飞 （同白） 大哥请。带马。
pdf_01000000__01002012___6c0f4ca58e,白门楼,pdf_01000000__01002012___6c0f4ca58e__line__000039,pdf_01000000__01002012___6c0f4ca58e__scene__001,01002012_白门楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002012_白门楼.pdf,01000000/01002012_白门楼.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,stage_direction,stage_direction,,,众人同下。,,,,,,,下,0,,,,（众人同下。）
