doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01002012___6c0f4ca58e,白门楼,吕布,pdf_01000000__01002012___6c0f4ca58e__char__e8e6a3063d,18,81,1.0,0.6585,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,曹操,pdf_01000000__01002012___6c0f4ca58e__char__a17699627a,16,123,0.8889,1.0,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,陈宫,pdf_01000000__01002012___6c0f4ca58e__char__bc3f71138a,15,65,0.8333,0.5285,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,貂蝉,pdf_01000000__01002012___6c0f4ca58e__char__5c4622ca1b,14,39,0.7778,0.3171,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,李典,pdf_01000000__01002012___6c0f4ca58e__char__38428f2166,11,19,0.6111,0.1545,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,曹洪,pdf_01000000__01002012___6c0f4ca58e__char__0f2290902b,11,20,0.6111,0.1626,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,张飞,pdf_01000000__01002012___6c0f4ca58e__char__ed1bbee596,11,17,0.6111,0.1382,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,张辽,pdf_01000000__01002012___6c0f4ca58e__char__7cb254628c,10,42,0.5556,0.3415,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,许褚,pdf_01000000__01002012___6c0f4ca58e__char__142fbec0a4,10,15,0.5556,0.122,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,关羽,pdf_01000000__01002012___6c0f4ca58e__char__5c7e8bcc5a,9,12,0.5,0.0976,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,8,40,0.4444,0.3252,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,小太监,pdf_01000000__01002012___6c0f4ca58e__char__2672e68dca,6,16,0.3333,0.1301,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,乐,pdf_01000000__01002012___6c0f4ca58e__char__f2bb12ec33,6,9,0.3333,0.0732,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,乐进,pdf_01000000__01002012___6c0f4ca58e__char__acae939414,5,6,0.2778,0.0488,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,同起霸,pdf_01000000__01002012___6c0f4ca58e__char__28c71dda59,4,4,0.2222,0.0325,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,龙套,pdf_01000000__01002012___6c0f4ca58e__char__7a0a65aab4,4,4,0.2222,0.0325,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,众人,pdf_01000000__01002012___6c0f4ca58e__char__2baf4bcdd3,2,8,0.1111,0.065,relations_aggregated
pdf_01000000__01002012___6c0f4ca58e,白门楼,龙套甲,pdf_01000000__01002012___6c0f4ca58e__char__cd8ae7e323,2,2,0.1111,0.0163,relations_aggregated
