doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,悲情,3,【第三场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,悲情,英雄末路,3,【第六场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,使命,悲情,2,【第六场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,战争,2,【第五场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,权谋,2,【第五场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,众叛亲离,悲情,1,【第八场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,众叛亲离,英雄末路,1,【第八场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,使命,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,使命,英雄末路,1,【第六场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,对抗,战争,1,【第四场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,对抗,英雄末路,1,【第四场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,沉溺酒色,1,【第三场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,忠义,英雄末路,1,【第九场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,悲情,权谋,1,【第九场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,悲情,沉溺酒色,1,【第三场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,战争,权力争夺,1,【第二场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,战争,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,战争,联盟与背叛,1,【第二场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,战争,英雄末路,1,【第四场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,权力争夺,联盟与背叛,1,【第二场】,scene_cooccurrence
pdf_01000000__01002012___6c0f4ca58e,白门楼,权谋,英雄末路,1,【第九场】,scene_cooccurrence
