doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002014___534d1c1fdb,宇宙锋,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,女性反抗,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,女性反抗,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,女性反抗,权力压迫,1,【第一场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,女性抗争,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,女性抗争,装疯抗暴,1,【第二场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,忠义,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,忠义,权力压迫,1,【第一场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,忠义,装疯抗暴,1,【第二场】,scene_cooccurrence
pdf_01000000__01002014___534d1c1fdb,宇宙锋,情爱,权力压迫,1,【第一场】,scene_cooccurrence
