doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,旗牌,程咬金,对话/应答,对话,1,来此秦府。,pdf_01000000__01002015___26a42a307f__line__000029,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,旗牌,对话/应答,对话,1,前去通报：鲁国公要见。,pdf_01000000__01002015___26a42a307f__line__000031,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,旗牌,院子,对话/应答,对话,2,门上哪位？,pdf_01000000__01002015___26a42a307f__line__000033,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,院子,旗牌,对话/应答,对话,1,什么人？,pdf_01000000__01002015___26a42a307f__line__000035,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,院子,秦怀玉,对话/应答,对话,1,候着。,pdf_01000000__01002015___26a42a307f__line__000039,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦怀玉,秦琼,对话/应答,对话,2,爹爹，程叔父到。,pdf_01000000__01002015___26a42a307f__line__000043,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦琼,秦怀玉,对话/应答,对话,3,我儿出迎。,pdf_01000000__01002015___26a42a307f__line__000045,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦怀玉,程咬金,对话/应答,对话,13,遵命。,pdf_01000000__01002015___26a42a307f__line__000047,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,秦怀玉,对话/应答,对话,12,罢了。贤侄，你父病体如何？,pdf_01000000__01002015___26a42a307f__line__000053,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,秦琼,对话/应答,对话,9,带路。,pdf_01000000__01002015___26a42a307f__line__000061,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦琼,程咬金,对话/应答,对话,8,二哥醒来。,pdf_01000000__01002015___26a42a307f__line__000067,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,程咬金,尉迟恭,命令/请求,命令,1,"二哥有所不知,今有张士贵有本回朝,招军已满,请主发兵征东。万岁见你染病在床,无人挂帅。可恨牛鼻子老道,保尉迟恭挂帅。",pdf_01000000__01002015___26a42a307f__line__000067,mention,
pdf_01000000__01002015___26a42a307f,取帅印,1,【第一场】,秦琼,尉迟恭,提及,提及,1,"那尉迟恭乃是一介村夫,况且目不识丁,怎能掌得帅印?",pdf_01000000__01002015___26a42a307f__line__000067,mention,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,秦怀玉,李世民,对话/应答,对话,3,"君入臣门多侥幸,龙行一步百草生。",pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,李世民,徐勣,对话/应答,对话,2,"徐王兄,恩公叫之不应,如何是好?",pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,徐勣,李世民,对话/应答,对话,1,"万岁亲入病房,将他唤醒。",pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
pdf_01000000__01002015___26a42a307f,取帅印,2,【第二场】,李世民,秦怀玉,对话/应答,对话,2,怀玉引孤到病房。,pdf_01000000__01002015___26a42a307f__line__000073,adjacency,
