doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002015___26a42a307f,取帅印,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,家国,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,家国,权力交接,1,【第二场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,忠义,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,忠义,权力交接,1,【第二场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,忠义,权力斗争,1,【第一场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,忠义,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,情爱,权力斗争,1,【第一场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,情爱,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01002015___26a42a307f,取帅印,权力斗争,权谋,1,【第一场】,scene_cooccurrence
