doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,萧恩,对抗,38,同场共现；对抗；对话；提及,"哦,又跑出一个这么二太爷来了。这个老头软硬不吃,我们还是打!萧恩你不懂局,跟你要银子,没有;叫你过江,你也不去。你看咱们带的人多。",llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧桂英,萧恩,协助,37,劝阻；协助；同场共现；对话,萧桂英随父杀人,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,萧桂英,命令,35,命令；对话,萧恩责备桂英渔家打扮，令其改过。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,大教师,对抗,25,对抗；对话,萧恩点穴并打落锁链，拒绝交税。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,倪荣,丁郎,对抗,14,对抗；对话,倪荣威胁‘剜他的眼睛，泡烧酒喝’。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,倪荣,萧恩,协助,14,协助；对话,倪荣送白米十担。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,李俊,丁郎,对抗,12,对抗；对话,李俊质问丁郎，并威胁‘大街之上，撞见俺有些不便’。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,丁员外,对抗,12,对抗；对话,萧恩杀丁员外,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,家丁,对话,11,,走走走。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,家丁,大教师,对话,11,,不要走了。到了。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,李俊,倪荣,协助,11,协助；对话,李俊称倪荣为贤弟，二人一同游玩。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁郎,倪荣,对话,10,,"呵,这个喉咙比那个还大。转来了。",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁郎,李俊,对话,9,,"离了家下,来到河下。",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁员外,萧恩,对抗,8,对抗；对话,"胆大萧恩,将我家下人打的狼狼狈狈。是何道理?",mention,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,倪荣,李俊,同场共现,8,同场共现；对话,（李俊、倪荣同下。）,stage_direction,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,倪荣,对话,8,,乃是问路的。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁郎,萧恩,对抗,6,命令；对抗；对话,丁郎前来讨鱼税银子，萧恩以天干水浅推脱。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,李俊,萧恩,协助,6,协助；对话,李俊送银十两。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁郎,丁员外,汇报,5,对话；汇报,丁郎向丁员外汇报催讨鱼税经过。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,李俊,对话,5,,"狗头狗脑,定不是好人。",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁员外,丁郎,对话,4,,"罢了。命你催讨鱼税银子,怎么样了?",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,郭先生,汇报,4,对话；汇报,银子倒没要来，我们爷们几个都让他们打回来了,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧桂英,衙役,对话,4,,"老爹爹出门去丁府来进,",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,郭先生,大教师,对话,4,对话；建议,啊，教师爷回来了。银子可曾要来？,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,郭先生,萧恩,对话,4,,"闲来无事江边走,观见河下一小舟。",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁员外,大教师,命令,3,命令；对话,丁员外派大教师去催讨鱼税。,llm,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,丁郎,对话,3,,咳。谅他也不敢啊!请啊。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,郭先生,对话,3,,"吠,做怎么的!",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,衙役,萧桂英,对话,3,,一十!,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁员外,郭先生,对话,2,,家有千担粮。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,四家丁,大教师,对话,2,,我认识。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,丁员外,对话,2,,你随便站哪里。有请家爷。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,四家丁,对话,2,,"徒弟们,谁认识萧恩那块?",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁员外,萧桂英,对话,1,,两厢退下。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,丁郎,大教师,对话,1,,凭着何来?,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,吕子秋,萧恩,对话,1,,赶下堂去!,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,大教师,萧桂英,同场共现,1,,（四家丁同上，萧恩、萧桂英杀四家丁。大教师上，萧恩杀大教师。同下。）,stage_direction,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,家丁,萧恩,提及,1,,到了萧恩家里呢。,mention,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,李倪,萧恩,对话,1,,酒也够了。,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧恩,李倪,对话,1,,"哦,又有人唤我,再饮几杯。",adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧桂英,丁员外,对话,1,,奸贼啊!,adjacency,
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,萧桂英,郭先生,对话,1,,哎呀!,adjacency,
