doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,反抗,阶级压迫,2,【第三场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,复仇,阶级压迫,2,【第五场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,反抗,复仇,1,【第六场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,反抗,情爱,1,【第六场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,反抗,生存困境,1,【第三场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,复仇,情爱,1,【第六场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,复仇,暴力与法律,1,【第五场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,忠义,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,忠义,贫困与生存,1,【第二场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,忠义,阶级压迫,1,【第二场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,情爱,阶级压迫,1,【第六场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,暴力与法律,阶级压迫,1,【第五场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,生存困境,阶级压迫,1,【第三场】,scene_cooccurrence
pdf_01000000__01002016___7c4fa6e0d0,打渔杀家,贫困与生存,阶级压迫,1,【第二场】,scene_cooccurrence
