doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01002017___248eca40c2,黑风帕,高旺,高来,命令,10,命令；对抗；对话；提及,高旺吩咐高来谎称赴牛羊大会,llm_refined,0.95
pdf_01000000__01002017___248eca40c2,黑风帕,高来,高旺,对话,8,对话,高来回应高旺：咳哩!,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,张兰英,高旺,协助,7,协助；对话；提及,张兰英告知高旺儿子和儿媳的身份，助其相认,llm_refined,0.9
pdf_01000000__01002017___248eca40c2,黑风帕,高旺,张兰英,协助,7,协助；对话,高旺通过黑风帕确认张兰英身份，夫妻相认,llm_refined,0.9
pdf_01000000__01002017___248eca40c2,黑风帕,高旺,张保,命令,6,命令；对抗；对话；提及,高旺命张保去松林迎接杨国母,llm_refined,0.9
pdf_01000000__01002017___248eca40c2,黑风帕,高来,杨八妹,协助,6,协助；对话,高来被吓后供出高旺藏身处，并设计引出高旺,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,张保,高旺,对抗,5,同场共现；对抗；对话,张保欲使黑风擒高旺,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,杨八妹,高旺,命令,5,协助；命令；对话,杨八妹奉太君命前来搬兵,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,杨八妹,高来,对话,5,对话；提及,杨八妹吓唬高来：我与你带的红绣花鞋,llm_refined,0.8
pdf_01000000__01002017___248eca40c2,黑风帕,鞑婆,高旺,对抗,5,同场共现；对抗；对话,鞑婆布黑风阵欲擒高旺,llm_refined,0.9
pdf_01000000__01002017___248eca40c2,黑风帕,高旺,鞑婆,对抗,5,对抗；对话；提及,高旺与鞑婆开打，鞑婆不敌退走,llm_refined,0.9
pdf_01000000__01002017___248eca40c2,黑风帕,高旺,杨八妹,对抗,4,对抗；对话,高旺设计躲避，不愿发兵,llm_refined,0.8
pdf_01000000__01002017___248eca40c2,黑风帕,张保,鞑婆,汇报,3,同场共现；对话；汇报,张保向鞑婆汇报：城下来了一个黑汉将我杀得大败,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,张兰英,张保,命令,3,命令；对话；提及,张兰英唤张保来见父亲,llm_refined,0.85
pdf_01000000__01002017___248eca40c2,黑风帕,张兰英,鞑婆,命令,2,命令；对话,张兰英唤鞑婆来见公公,llm_refined,0.8
pdf_01000000__01002017___248eca40c2,黑风帕,鞑婆,张保,命令,2,命令；对话,鞑婆对张保说：且至后面，待我会他,llm_refined,0.8
pdf_01000000__01002017___248eca40c2,黑风帕,张保,张兰英,对话,1,对话,张保回应张兰英：何事?,llm_refined,0.7
pdf_01000000__01002017___248eca40c2,黑风帕,张保,杨八妹,对话,1,对话,"张保对杨八妹说：箭射雕翎箭,挽弓满上弦",llm_refined,0.7
pdf_01000000__01002017___248eca40c2,黑风帕,鞑婆,张兰英,对话,1,对话,鞑婆回应张兰英：婆婆何事?,llm_refined,0.7
