doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002017___248eca40c2,黑风帕,家国,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,家国,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,忠义,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,亲情,身份验证,1,【第六场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,以技克技,斗法,1,【第三场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,以技克技,自信与傲慢,1,【第三场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,伪装与识破,智斗,1,【第二场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,伪装与识破,过关,1,【第二场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,对抗,战争,1,【第四场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,对抗,胜负,1,【第四场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,悲情,战争,1,【第五场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,悲情,智勇破敌,1,【第五场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,战争,智勇破敌,1,【第五场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,战争,胜负,1,【第四场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,斗法,自信与傲慢,1,【第三场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,智斗,过关,1,【第二场】,scene_cooccurrence
pdf_01000000__01002017___248eca40c2,黑风帕,权谋,离散,1,序幕/前置内容,scene_cooccurrence
