doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01002018___8b683ca237,目莲救母,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01002018___8b683ca237,目莲救母,情爱,战争,1,序幕/前置内容,scene_cooccurrence
