doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金玉奴,莫稽,对话/应答,对话,10,我说你为什么倒卧在我家门首?,pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,莫稽,金玉奴,对话/应答,对话,10,"小生乃是个饥寒人,三天未曾用饭,肚中饥饿,故而倒卧在你家门口。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,莫稽,金松,对话/应答,对话,26,"想这样阴功事到处都有,这也是老天爷将我来救。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金松,莫稽,对话/应答,对话,26,"吃不了残茶冷饭,穿不了破衣烂裳。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金松,金玉奴,对话/应答,对话,14,"什么?小姑娘叫你进来的?你不要血口喷人,我把小姑娘叫出来问问。要是叫你进来的,还只罢了;不是她叫你进来的,你留点神。丫头玉奴,与我滚出来吧!",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金玉奴,金松,对话/应答,对话,15,"耳边厢又听得有人呼唤,想必是老爹爹转回家园。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金松,二杆,对话/应答,对话,2,"说这么几句大话,一桩喜事,算成功了!",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,二杆,众人,对话/应答,对话,1,"弟兄们,听说我们金大哥,要办喜事,我们去道道喜。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,众人,二杆,对话/应答,对话,1,一同前往。,pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,二杆,金松,对话/应答,对话,2,"大哥,恭喜恭喜!姑娘预备终身大事,是要紧的。",pdf_01000000__01002019___9cf1474dd0__line__000025,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,莫稽,金松,提及,提及,1,"哦,金松老丈。金乃是金玉满堂之金,哪松哪?",pdf_01000000__01002019___9cf1474dd0__line__000025,mention,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,莫稽,金玉奴,对话/应答,对话,11,"人逢喜事精神爽,月到中秋分外明。",pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金玉奴,莫稽,对话/应答,对话,10,"你与我配夫妻洪恩浩大,但愿得我夫妻永久永长。",pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金玉奴,金松,对话/应答,对话,1,"爹吓有,请!",pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金松,莫稽,对话/应答,对话,1,呵呵......,pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,莫稽,金松,对话/应答,对话,1,参见岳父大人!,pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金松,金玉奴,对话/应答,对话,1,"罢了,女婿大官人。",pdf_01000000__01002019___9cf1474dd0__line__000035,adjacency,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金玉奴,莫稽,协助,协助,3,金玉奴给莫稽豆汁充饥，并让他进院避风。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金松,莫稽,对抗,对抗,2,金松起初驱赶莫稽，称其为‘要饭的’。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金玉奴,金松,劝阻,劝阻,2,金玉奴解释莫稽是饥寒人，劝父亲不要生气。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,1,【第一场】,金松,莫稽,同盟,协助,3,金松主动提出将女儿招赘莫稽，并一起说大话。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金玉奴,莫稽,劝阻,劝阻,3,相公，男子汉要鹏程万里，今乃大比之年，理当进京求取你功名才是。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,莫稽,金玉奴,对抗,对抗,3,如今我得了饱衣暖食，你叫我受那风霜之苦，是万万不能。,,llm,
pdf_01000000__01002019___9cf1474dd0,红鸾禧,3,【第三场】,金玉奴,莫稽,评价,评价,2,实指望嫁一状元女婿，谁知道他也是这一根杆上的！,,llm,
