doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01002019___9cf1474dd0,红鸾禧,金松,莫稽,对抗,8,协助；对抗；对话,金松起初驱赶莫稽，称其为‘要饭的’。,llm_refined,0.9
pdf_01000000__01002019___9cf1474dd0,红鸾禧,金玉奴,莫稽,协助,8,劝阻；协助；对话；评价,金玉奴给莫稽豆汁充饥，并让他进院避风。,llm_refined,0.9
pdf_01000000__01002019___9cf1474dd0,红鸾禧,莫稽,金松,对话,7,对话；提及,莫稽询问金松姓氏，说‘金乃是金玉满堂之金，哪松哪？’,llm_refined,0.8
pdf_01000000__01002019___9cf1474dd0,红鸾禧,莫稽,金玉奴,对抗,7,对抗；对话,莫稽拒绝金玉奴要求，说‘如今我得了饱衣暖食，你叫我受那风霜之苦，是万万不能。’,llm_refined,0.9
pdf_01000000__01002019___9cf1474dd0,红鸾禧,金松,金玉奴,对话,5,对话,金松质问金玉奴是否让莫稽进门，说‘什么？小姑娘叫你进来的？……丫头玉奴，与我滚出来吧！’,llm_refined,0.8
pdf_01000000__01002019___9cf1474dd0,红鸾禧,金玉奴,金松,对话,5,劝阻；对话,金玉奴听到呼唤，唱‘耳边厢又听得有人呼唤，想必是老爹爹转回家园。’,llm_refined,0.7
pdf_01000000__01002019___9cf1474dd0,红鸾禧,二杆,金松,对话,2,对话,二杆祝贺金松，说‘大哥，恭喜恭喜！姑娘预备终身大事，是要紧的。’,llm_refined,0.7
pdf_01000000__01002019___9cf1474dd0,红鸾禧,金松,二杆,对话,2,对话,金松回应二杆，说‘说这么几句大话，一桩喜事，算成功了！’,llm_refined,0.7
pdf_01000000__01002019___9cf1474dd0,红鸾禧,二杆,众人,对话,1,对话,二杆招呼众人，说‘弟兄们，听说我们金大哥，要办喜事，我们去道道喜。’,llm_refined,0.6
pdf_01000000__01002019___9cf1474dd0,红鸾禧,众人,二杆,对话,1,对话,众人回应二杆，说‘一同前往。’,llm_refined,0.6
