doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000001,pdf_01000000__01002020___b68a4c781b__scene__000,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《白状元祭塔》,,,,,,,0,,,,# 《白状元祭塔》
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000021,pdf_01000000__01002020___b68a4c781b__scene__001,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,21,stage_direction,stage_direction,,,四青袍同上，许仕林上。,,,,,,,上,0,,,,（四青袍同上，许仕林上。）
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000023,pdf_01000000__01002020___b68a4c781b__scene__001,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,许仕林,pdf_01000000__01002020___b68a4c781b__char__2d9eeff834,引子,一色杏花红十里，状元归去马如飞。,,,喜,陈述,,去,0,llm,,0.9,许仕林 （引子） 一色杏花红十里，状元归去马如飞。
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000025,pdf_01000000__01002020___b68a4c781b__scene__001,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,25,stage_direction,stage_direction,,,许仕林坐。,,,,,,,坐,0,,,,（许仕林坐。）
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000027,pdf_01000000__01002020___b68a4c781b__scene__001,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,27,dialogue,dialogue,许仕林,pdf_01000000__01002020___b68a4c781b__char__2d9eeff834,念,中状元名扬天下，琼林宴帽插宫花。喜则喜三宫摘宴，稳坐在三元上下。（白） 下官许仕林，蒙圣恩得中头名状矣。想我母亲雷峰塔受苦，是我上殿启奏一本，今日奉旨回家祭祖。左右，吩咐外厢开道。,,,喜,陈述,许仕林,上；下；道；坐,1,llm,,0.8,许仕林 （念） 中状元名扬天下，琼林宴帽插宫花。喜则喜三宫摘宴，稳坐在三元上下。（白） 下官许仕林，蒙圣恩得中头名状矣。想我母亲雷峰塔受苦，是我上殿启奏一本，今日奉旨回家祭祖。左右，吩咐外厢开道。
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000029,pdf_01000000__01002020___b68a4c781b__scene__001,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,29,stage_direction,stage_direction,,,四青袍、许仕林同下。,,,,,,,下,0,,,,（四青袍、许仕林同下。）
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000033,pdf_01000000__01002020___b68a4c781b__scene__002,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,33,stage_direction,stage_direction,,,塔神上。,,,,,,,上,0,,,,（塔神上。）
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000035,pdf_01000000__01002020___b68a4c781b__scene__002,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,35,dialogue,dialogue,塔神,pdf_01000000__01002020___b68a4c781b__char__fd48930619,念,力大无穷顶砚台，玉帝符旨把某差。（白） 我乃塔神是也，奉了玉帝符旨，在此看守雷峰塔。不免在此伺候。,许仕林,pdf_01000000__01002020___b68a4c781b__char__2d9eeff834,平,陈述,,看,1,llm,rule,0.9,塔神 （念） 力大无穷顶砚台，玉帝符旨把某差。（白） 我乃塔神是也，奉了玉帝符旨，在此看守雷峰塔。不免在此伺候。
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000037,pdf_01000000__01002020___b68a4c781b__scene__002,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,37,stage_direction,stage_direction,,,四青袍同上，同挖门，许仕林上，拈香。,,,,,,,上,0,,,,（四青袍同上，同挖门，许仕林上，拈香。）
pdf_01000000__01002020___b68a4c781b,白状元祭塔,pdf_01000000__01002020___b68a4c781b__line__000039,pdf_01000000__01002020___b68a4c781b__scene__002,01002020_白状元祭塔.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002020_白状元祭塔.pdf,01000000/01002020_白状元祭塔.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,39,dialogue,dialogue,许仕林,pdf_01000000__01002020___b68a4c781b__char__2d9eeff834,三叫头,母亲！老娘！娘亲！,白素贞,pdf_01000000__01002020___b68a4c781b__char__76dba5e700,哀,请求,,叫,0,llm,llm,0.95,许仕林 （三叫头） 母亲！老娘！娘亲！
