doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000001,pdf_01000000__01003001___7e8bcc7c30__scene__000,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,,,,,,问；打,1,,,,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000031,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,stage_direction,stage_direction,,,土地上。,,,,,,,上,0,,,,（土地上。）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000033,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,dialogue,dialogue,土地,pdf_01000000__01003001___7e8bcc7c30__char__7d38eb3fc6,念,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,范仲禹,pdf_01000000__01003001___7e8bcc7c30__char__912da7791f,平,陈述,樵夫；范仲禹,上；来；去,1,llm,rule,0.8,土地 （念） 天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000035,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,stage_direction,stage_direction,,,土地下，樵夫上。,,,,,,,上；下,0,,,,（土地下，樵夫上。）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000037,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,樵夫,pdf_01000000__01003001___7e8bcc7c30__char__fd012cf0f9,白,缺少扁担，待我用拐杖变来。（念） 一变二变，扁担出现。,土地,pdf_01000000__01003001___7e8bcc7c30__char__7d38eb3fc6,平,陈述,,来；念白,1,llm,rule,0.8,樵夫 （白） 缺少扁担，待我用拐杖变来。（念） 一变二变，扁担出现。
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000039,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,stage_direction,stage_direction,,,樵夫变扁担。,,,,,,,,0,,,,（樵夫变扁担。）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000041,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,樵夫,pdf_01000000__01003001___7e8bcc7c30__char__fd012cf0f9,白,变好了。就此走走。（二黄原板） 天上星斗朗朗稀，,,,平,陈述,,上；走；念白,1,llm,,0.8,樵夫 （白） 变好了。就此走走。（二黄原板） 天上星斗朗朗稀，
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000043,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,43,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000045,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,stage_direction,stage_direction,,,范仲禹上。,,,,,,,上,0,,,,（范仲禹上。）
pdf_01000000__01003001___7e8bcc7c30,琼林宴,pdf_01000000__01003001___7e8bcc7c30__line__000047,pdf_01000000__01003001___7e8bcc7c30__scene__001,01003001_琼林宴【前本】.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003001_琼林宴【前本】.pdf,01000000/01003001_琼林宴【前本】.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,dialogue,dialogue,范仲禹,pdf_01000000__01003001___7e8bcc7c30__char__912da7791f,白,走吓！（二黄摇板） 山前山后俱找到，不见妻儿为哪条？（白） 卑人，府学生员范仲禹。今乃大比之年，进京赴试已举。行在南山之下，失落,樵夫,pdf_01000000__01003001___7e8bcc7c30__char__fd012cf0f9,悲,陈述,范仲禹,下；进；走；念白,1,llm,rule,0.85,范仲禹 （白） 走吓！（二黄摇板） 山前山后俱找到，不见妻儿为哪条？（白） 卑人，府学生员范仲禹。今乃大比之年，进京赴试已举。行在南山之下，失落
