doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,土地,樵夫,对话/应答,对话,1,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,pdf_01000000__01003001___7e8bcc7c30__line__000033,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,樵夫,范仲禹,对话/应答,对话,28,变好了。就此走走。（二黄原板） 天上星斗朗朗稀，,pdf_01000000__01003001___7e8bcc7c30__line__000041,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,范仲禹,樵夫,对话/应答,对话,28,走吓！（二黄摇板） 山前山后俱找到，不见妻儿为哪条？（白） 卑人，府学生员范仲禹。今乃大比之年，进京赴试已举。行在南山之下，失落,pdf_01000000__01003001___7e8bcc7c30__line__000047,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,土地,范仲禹,提及,提及,1,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,pdf_01000000__01003001___7e8bcc7c30__line__000033,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,土地,樵夫,提及,提及,1,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,pdf_01000000__01003001___7e8bcc7c30__line__000033,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,范仲禹,樵夫,问答,对话,1,"樵夫,你在山中砍柴,可曾看见我的儿子?",pdf_01000000__01003001___7e8bcc7c30__line__000049,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,1,【第一场】,樵夫,葛登云,提及,提及,3,附耳上来。他叫葛登云。,pdf_01000000__01003001___7e8bcc7c30__line__000049,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,家院,范仲禹,对话/应答,对话,5,哽哼!,pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,范仲禹,家院,对话/应答,对话,5,你可姓葛?,pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,家院,葛登云,对话/应答,对话,2,"哦,是是是。有请相爷!",pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,葛登云,家院,对话/应答,对话,1,"身为当朝首相,喜爱美貌娇娘。",pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,葛登云,范仲禹,对话/应答,对话,10,待我出去看来。是哪一个?,pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,范仲禹,葛登云,对话/应答,对话,9,"啊,老太师你可好?",pdf_01000000__01003001___7e8bcc7c30__line__000055,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,范仲禹,葛登云,提及,提及,1,你可叫葛登云?,pdf_01000000__01003001___7e8bcc7c30__line__000055,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,家院,葛登云,提及,提及,1,我不叫葛登云!,pdf_01000000__01003001___7e8bcc7c30__line__000055,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,葛登云,樵夫,对抗,对抗,1,将樵夫送在有司衙门责打四十大板!,pdf_01000000__01003001___7e8bcc7c30__line__000055,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,2,【第二场】,葛登云,樵夫,问答,对话,1,"范相公哪里知道,那山中樵夫,偷盗老夫的树木,将他送在有司衙门。",pdf_01000000__01003001___7e8bcc7c30__line__000055,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,4,【第二场】,葛登云,四青袍,对话/应答,对话,1,"家将们,将大胆的疯汉乱棒打死!",pdf_01000000__01003001___7e8bcc7c30__line__000191,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,4,【第二场】,四青袍,葛登云,对话/应答,对话,1,启相爷:将疯汉打死了。,pdf_01000000__01003001___7e8bcc7c30__line__000191,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,4,【第二场】,葛登云,家院,对话/应答,对话,2,"来,将他拖至南楼。",pdf_01000000__01003001___7e8bcc7c30__line__000191,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,4,【第二场】,家院,葛登云,对话/应答,对话,2,"且慢,他妻现在南楼,若是看见,那还了得?",pdf_01000000__01003001___7e8bcc7c30__line__000191,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,5,【第三场】,报禄甲,报禄乙,对话/应答,对话,21,"中状元扬名天下,",pdf_01000000__01003001___7e8bcc7c30__line__000195,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,5,【第三场】,报禄乙,报禄甲,对话/应答,对话,19,琼林宴找也找不着他。,pdf_01000000__01003001___7e8bcc7c30__line__000195,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,5,【第三场】,报禄甲,四青袍,对话/应答,对话,1,"好好,你我在此等候。",pdf_01000000__01003001___7e8bcc7c30__line__000195,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,5,【第三场】,四青袍,报禄甲,对话/应答,对话,1,哦!,pdf_01000000__01003001___7e8bcc7c30__line__000195,adjacency,
