doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01003001___7e8bcc7c30,琼林宴,樵夫,范仲禹,对话,31,告知；对话,变好了。就此走走。（二黄原板） 天上星斗朗朗稀，,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,樵夫,对话,31,对话；询问,走吓！（二黄摇板） 山前山后俱找到，不见妻儿为哪条？（白） 卑人，府学生员范仲禹。今乃大比之年，进京赴试已举。行在南山之下，失落,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄甲,报禄乙,协助,24,劝阻；协助；对话,商议抢劫路人，背手摸箱分赃,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄乙,报禄甲,汇报,20,对话；汇报,"慢着!你是他的儿子,你要打他,我要送你忤逆。摸摸他身上有东西没有。(报禄甲、报禄乙同下。文昌、二童儿同上,过场,同下。)",mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛登云,范仲禹,对抗,19,对抗；对话,葛登云否认霸妻并威胁范仲禹,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,葛登云,对抗,15,对抗；对话；提及,范仲禹指责葛登云霸占其妻，并威胁还妻,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄乙,范仲禹,命令,9,命令；对话；试探,"你我奉了相爷之命,寻找范仲禹。出来了一个多月,也没有找着,岂不是找也找不着他?",mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,家院,葛登云,协助,7,协助；对话；提及,家院建议将范仲禹装木箱焚化,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,报禄甲,提及,7,对话；提及,范仲禹称报禄甲为'儿子',llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄甲,范仲禹,对话,6,对话；试探,"大吉!摸,摸,三次,调边摸。",adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,报禄乙,提及,6,对话；提及,范仲禹称报禄乙为'妻子',llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,家院,范仲禹,对话,5,,哽哼!,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,家院,对话,5,,你可姓葛?,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,土地,樵夫,提及,3,化身；对话；提及,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,杀神,葛虎,对抗,3,,杀神杀死葛虎,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,樵夫,葛登云,提及,3,,附耳上来。他叫葛登云。,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛登云,家院,对话,3,,"身为当朝首相,喜爱美貌娇娘。",adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛虎,范仲禹,对抗,3,,葛虎持刀欲杀范仲禹,llm,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄乙,童儿,汇报,2,,"慢着!你是他的儿子,你要打他,我要送你忤逆。摸摸他身上有东西没有。(报禄甲、报禄乙同下。文昌、二童儿同上,过场,同下。)",mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛登云,樵夫,对抗,2,对抗；对话,将樵夫送在有司衙门责打四十大板!,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,四青袍,报禄甲,对话,1,,哦!,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,四青袍,葛登云,对话,1,,启相爷:将疯汉打死了。,adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,土地,范仲禹,提及,1,,天上白云本无根，又被清风引出来。 （白） 我乃上方土地是也。今有范仲禹妻子孩儿有难，奉了玉帝敕旨，前去点化于他。 待我变作樵夫模样，就此变来。,mention,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,家院,打扫书房,同场共现,1,,（家院上，打扫书房。）,stage_direction,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄甲,四青袍,对话,1,,"好好,你我在此等候。",adjacency,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,杀神,亮架子,同场共现,1,,（杀神上，亮架子。）,stage_direction,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,杀神,起霸,同场共现,1,,（杀神上，起霸。）,stage_direction,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,葛虎,同场共现,1,,（杀神杀葛虎。杀神、范仲禹同亮架子。杀神下。家院上。）,stage_direction,
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛登云,四青袍,对话,1,,"家将们,将大胆的疯汉乱棒打死!",adjacency,
