doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01003001___7e8bcc7c30,琼林宴,使命,2,土地化身为樵夫，点化范仲禹，告知其子被虎衔后被陆来所救，其妻被葛登云抢走，范仲禹得知后欲前往葛府。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,亲情,1,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,keyword
pdf_01000000__01003001___7e8bcc7c30,琼林宴,公案,1,范仲禹在书房中思念妻儿，杀神出现并杀死前来行凶的葛虎，葛登云发现后命人将范仲禹乱棒打死并装入木箱准备焚化。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,反抗,1,范仲禹误打家院后质问葛登云，指责其霸占妻子，葛登云否认并威胁范仲禹，冲突升级。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,善恶冲突,1,土地化身为樵夫，点化范仲禹，告知其子被虎衔后被陆来所救，其妻被葛登云抢走，范仲禹得知后欲前往葛府。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,善恶报应,1,范仲禹在书房中思念妻儿，杀神出现并杀死前来行凶的葛虎，葛登云发现后命人将范仲禹乱棒打死并装入木箱准备焚化。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,喜剧,1,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,keyword
pdf_01000000__01003001___7e8bcc7c30,琼林宴,复仇,1,范仲禹在书房中思念妻儿，杀神出现并杀死前来行凶的葛虎，葛登云发现后命人将范仲禹乱棒打死并装入木箱准备焚化。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,寻亲,1,土地化身为樵夫，点化范仲禹，告知其子被虎衔后被陆来所救，其妻被葛登云抢走，范仲禹得知后欲前往葛府。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,忠义,1,范仲禹误打家院后质问葛登云，指责其霸占妻子，葛登云否认并威胁范仲禹，冲突升级。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,战争,1,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,keyword
pdf_01000000__01003001___7e8bcc7c30,琼林宴,救难,1,杀神登场，自述身份与使命，奉玉帝旨意下凡搭救有难的文曲星范仲禹，随即前往。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,权力压迫,1,范仲禹在书房中思念妻儿，杀神出现并杀死前来行凶的葛虎，葛登云发现后命人将范仲禹乱棒打死并装入木箱准备焚化。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,权谋,1,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,keyword
pdf_01000000__01003001___7e8bcc7c30,琼林宴,疯癫与真相,1,报禄甲、乙奉相爷之命寻找范仲禹，盘缠用尽，商议抢劫路人。范仲禹疯癫出现，误认二人为儿子、妻子，控诉霸占民妻。报禄甲、乙离去，范仲禹受神点化欲上天。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,神助,1,杀神登场，自述身份与使命，奉玉帝旨意下凡搭救有难的文曲星范仲禹，随即前往。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,神启与超自然,1,报禄甲、乙奉相爷之命寻找范仲禹，盘缠用尽，商议抢劫路人。范仲禹疯癫出现，误认二人为儿子、妻子，控诉霸占民妻。报禄甲、乙离去，范仲禹受神点化欲上天。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,离散,1,# 《琼林宴》 【前本】（一名：《问樵闹府·打棍出箱》）,keyword
pdf_01000000__01003001___7e8bcc7c30,琼林宴,霸占,1,范仲禹误打家院后质问葛登云，指责其霸占妻子，葛登云否认并威胁范仲禹，冲突升级。,llm
pdf_01000000__01003001___7e8bcc7c30,琼林宴,霸占与反抗,1,报禄甲、乙奉相爷之命寻找范仲禹，盘缠用尽，商议抢劫路人。范仲禹疯癫出现，误认二人为儿子、妻子，控诉霸占民妻。报禄甲、乙离去，范仲禹受神点化欲上天。,llm
