doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000001,pdf_01000000__01003002___acc415186d__scene__000,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《群英会》,,,,,,,0,,,,# 《群英会》
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000003,pdf_01000000__01003002___acc415186d__scene__000,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,3,dialogue,dialogue,,,一名：《蒋干中计》；一名：《蒋干盗书》,（带：《草船借箭》；一名：《诸葛借箭》）,,,平,其他,,,1,llm,,0.8,（一名：《蒋干中计》；一名：《蒋干盗书》）（带：《草船借箭》；一名：《诸葛借箭》）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000045,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,stage_direction,stage_direction,,,黄盖上，起霸。,,,,,,,上,0,,,,（黄盖上，起霸。）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000047,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,dialogue,dialogue,黄盖,pdf_01000000__01003002___acc415186d__char__31774bed7f,念,,,,,,,,0,,,,黄盖 （念）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000049,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,49,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000051,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,51,narration,narration,,,,二十年前摆战场，好似猛虎赶群羊。光阴不催人自老，不觉两鬓白如霜。,黄盖,pdf_01000000__01003002___acc415186d__char__31774bed7f,,,,,1,,rule,,二十年前摆战场，好似猛虎赶群羊。光阴不催人自老，不觉两鬓白如霜。
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000053,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,53,narration,narration,,,,老夫，姓黄名盖字公覆。都督升帐，在此伺候。,黄盖,pdf_01000000__01003002___acc415186d__char__31774bed7f,,,,,1,,rule,,老夫，姓黄名盖字公覆。都督升帐，在此伺候。
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000055,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,55,stage_direction,stage_direction,,,甘宁上，起霸。,,,,,,,上,0,,,,（甘宁上，起霸。）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000057,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,57,dialogue,dialogue,甘宁,pdf_01000000__01003002___acc415186d__char__98ac70aa97,念,,,,,,,,0,,,,甘宁 （念）
pdf_01000000__01003002___acc415186d,群英会,pdf_01000000__01003002___acc415186d__line__000059,pdf_01000000__01003002___acc415186d__scene__001,01003002_群英会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003002_群英会.pdf,01000000/01003002_群英会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,59,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
