doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003002___acc415186d,群英会,周瑜,pdf_01000000__01003002___acc415186d__char__95719ec611,21,211,1.0,1.0,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,13,150,0.619,0.7109,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,鲁肃,pdf_01000000__01003002___acc415186d__char__d1e3ecb867,12,161,0.5714,0.763,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,蒋干,pdf_01000000__01003002___acc415186d__char__d7ced696d8,11,96,0.5238,0.455,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,曹操,pdf_01000000__01003002___acc415186d__char__80042e74d8,7,35,0.3333,0.1659,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,黄盖,pdf_01000000__01003002___acc415186d__char__31774bed7f,7,24,0.3333,0.1137,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,龙套,pdf_01000000__01003002___acc415186d__char__e630fefd4a,6,9,0.2857,0.0427,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,二水手,pdf_01000000__01003002___acc415186d__char__1fd1e9cf74,5,9,0.2381,0.0427,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,众将,pdf_01000000__01003002___acc415186d__char__c3c0feadda,5,5,0.2381,0.0237,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,甘宁,pdf_01000000__01003002___acc415186d__char__98ac70aa97,4,18,0.1905,0.0853,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,众人,pdf_01000000__01003002___acc415186d__char__017dbd0630,3,6,0.1429,0.0284,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,蔡中,pdf_01000000__01003002___acc415186d__char__ba9742aaab,3,7,0.1429,0.0332,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,张允,pdf_01000000__01003002___acc415186d__char__3ca6b8aa08,3,5,0.1429,0.0237,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,蔡瑁,pdf_01000000__01003002___acc415186d__char__17cd0b6ae8,3,5,0.1429,0.0237,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,太史慈,pdf_01000000__01003002___acc415186d__char__2ec399a6fa,2,9,0.0952,0.0427,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,军士,pdf_01000000__01003002___acc415186d__char__05041799a0,2,3,0.0952,0.0142,relations_aggregated
pdf_01000000__01003002___acc415186d,群英会,蔡和,pdf_01000000__01003002___acc415186d__char__18a5631b16,1,1,0.0476,0.0047,relations_aggregated
