doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,鲁肃,对话/应答,对话,5,"孔明吓,我不杀你,誓不为人也。",pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,鲁肃,周瑜,对话/应答,对话,5,将令追回。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,甘宁,对话/应答,对话,4,"吓,他二人惯习水战,本都督大功难成也。",pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,甘宁,周瑜,对话/应答,对话,4,蒋干过江。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,龙套,对话/应答,对话,2,有请蒋先生。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,龙套,蒋干,对话/应答,对话,1,有请蒋先生。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,蒋干,周瑜,对话/应答,对话,22,贤弟。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,蒋干,对话/应答,对话,20,仁兄请坐。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,龙套,众将,对话/应答,对话,1,传众将进帐。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,众将,周瑜,对话/应答,对话,1,参见都督。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,众将,对话/应答,对话,1,见过蒋先生。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,众将,蒋干,对话/应答,对话,1,吓!敢你是与曹操操作说客而来?,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,太史慈,对话/应答,对话,3,太史慈听令。,pdf_01000000__01003002___acc415186d__line__000075,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,太史慈,周瑜,对话/应答,对话,3,在。,pdf_01000000__01003002___acc415186d__line__000075；pdf_01000000__01003002___acc415186d__line__000079,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,黄盖,对话/应答,对话,3,黄盖听令。,pdf_01000000__01003002___acc415186d__line__000079,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,黄盖,周瑜,对话/应答,对话,3,在。,pdf_01000000__01003002___acc415186d__line__000075；pdf_01000000__01003002___acc415186d__line__000079,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,众人,对话/应答,对话,1,"众将官,蒋干若是逃走,尔等不许阻拦。",pdf_01000000__01003002___acc415186d__line__000079,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,众人,周瑜,对话/应答,对话,1,得令。,pdf_01000000__01003002___acc415186d__line__000075；pdf_01000000__01003002___acc415186d__line__000079,adjacency,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,鲁肃,蔡瑁,提及,提及,1,"荆州降将,蔡瑁、张允二贼。",pdf_01000000__01003002___acc415186d__line__000075,mention,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,鲁肃,张允,提及,提及,1,"荆州降将,蔡瑁、张允二贼。",pdf_01000000__01003002___acc415186d__line__000075,mention,
