doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,鲁肃,评价,51,劝阻；同场共现；对话；提及；求助；评价,"我服你在舟中饮酒,浑身哪哪哪战抖",llm,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,诸葛亮,评价,43,劝阻；对话；提及；评价,"服你好阴阳,好八卦,怎么知道今夜有此大雾?",llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,蒋干,提及,31,对话；提及；试探,"大夫,蒋干过江,必与曹操做说客而来,待我略施小计,管叫曹操中计。来,客厅伺候。",mention,
pdf_01000000__01003002___acc415186d,群英会,蒋干,周瑜,对抗,29,对抗；对话；试探,蒋干盗信逃回，意图破坏周瑜计划。,llm,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,周瑜,汇报,27,协助；对话；汇报,鲁肃向周瑜详细报告孔明造箭经过。,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,诸葛亮,评价,24,对话；评价；试探,周瑜惊叹'孔明真乃神人也'。,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,鲁肃,命令,24,命令；对话,周瑜命鲁肃将书放在后帐战策内,llm,
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,周瑜,协助,15,协助；对话,诸葛亮识破周瑜借刀计，并同意造箭,llm,
pdf_01000000__01003002___acc415186d,群英会,曹操,蒋干,命令,14,同场共现；命令；对话；询问,曹操命令蒋干放箭,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,黄盖,命令,12,命令；对话,黄盖听令。,llm,
pdf_01000000__01003002___acc415186d,群英会,蒋干,曹操,汇报,11,对话；汇报,蒋干汇报周瑜不降，并提及机密,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,甘宁,命令,10,命令；对话,甘宁听令。,llm,
pdf_01000000__01003002___acc415186d,群英会,黄盖,周瑜,对话,7,,在。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,周瑜,太史慈,命令,6,命令；对话,太史慈听令。,llm,
pdf_01000000__01003002___acc415186d,群英会,甘宁,周瑜,对话,5,,蒋干过江。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,二水手,诸葛亮,对话,4,,"启爷:满江大雾,观不见水景。",adjacency,
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,曹操,对抗,4,,"那曹操,中了都督借刀杀人之计,杀了蔡瑁、张允,水军头目,换了毛玠、于 禁,此二人不识水性,岂不是大大的一喜?",llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,众人,命令,3,命令；对话,周瑜令众将官若蒋干逃走不许阻拦,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,蔡中,接纳,3,,周瑜称赞二人弃暗投明，并拨给甘宁帐下,llm,
pdf_01000000__01003002___acc415186d,群英会,周瑜,龙套,同场共现,3,同场共现；对话,（四白龙套同上，周瑜上。）,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,太史慈,周瑜,对话,3,,在。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,蔡中,周瑜,投降,3,,蔡中蔡和以报兄仇为由投降东吴,llm,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,张允,对抗,3,对抗；提及,"曹孟德果杀了蔡瑁、张允,周都督他算得天下能人。",mention,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,蒋干,提及,3,对话；提及,蒋干逃走了。,mention,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,蔡瑁,对抗,3,对抗；提及,"曹孟德果杀了蔡瑁、张允,周都督他算得天下能人。",mention,
pdf_01000000__01003002___acc415186d,群英会,众人,甘宁,提及,2,对话；提及,甘宁进帐。,mention,
pdf_01000000__01003002___acc415186d,群英会,周瑜,曹操,提及,2,,"大夫,蒋干过江,必与曹操做说客而来,待我略施小计,管叫曹操中计。来,客厅伺候。",mention,
pdf_01000000__01003002___acc415186d,群英会,蒋干,鲁肃,对话,2,,倘若是他知道岂肯放我?恨不得插双翅飞过江河。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,二水手,对话,2,,"劝大夫放开怀宽心饮酒,些须小事何要你这等的忧愁。",adjacency,
pdf_01000000__01003002___acc415186d,群英会,诸葛亮,军士,命令,2,命令；提及,"吓,大夫,这是军令状,还有你的保人,三日后,命五百军士,去到江边搬箭,大夫收好了。",mention,
pdf_01000000__01003002___acc415186d,群英会,鲁肃,曹操,对抗,2,对抗；对话,"启都督:那曹操,果中了都督借刀之计,杀了蔡瑁、张允,水军头目,换了毛 珍、于禁,岂不是一喜?",mention,
pdf_01000000__01003002___acc415186d,群英会,龙套,蒋干,同场共现,2,同场共现；对话,（白龙套甲扶蒋干同下。）,stage_direction,
pdf_01000000__01003002___acc415186d,群英会,二水手,鲁肃,对话,1,,"南阳诸葛借箭,谢丞相赠十万雕翎!",adjacency,
pdf_01000000__01003002___acc415186d,群英会,众人,周瑜,对话,1,,得令。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,众将,周瑜,对话,1,,参见都督。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,众将,曹操,提及,1,,吓!敢你是与曹操操作说客而来?,mention,
pdf_01000000__01003002___acc415186d,群英会,众将,蒋干,对话,1,,吓!敢你是与曹操操作说客而来?,adjacency,
pdf_01000000__01003002___acc415186d,群英会,周瑜,众将,对话,1,,见过蒋先生。,adjacency,
pdf_01000000__01003002___acc415186d,群英会,甘宁,蒋干,提及,1,,蒋干过江。,mention,
