doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003002___acc415186d,群英会,使命,权谋,2,【第三场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,忠义,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,权谋,欺骗,2,【第二场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,使命,悲情,1,【第三场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,使命,识天文,1,【第七场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,借力,冒险,1,【第六场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,借力,权谋,1,【第六场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,借力,欺骗,1,【第六场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,冒险,权谋,1,【第六场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,冒险,欺骗,1,【第六场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,反间,宴会,1,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,反间,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,反间,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,宴会,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,宴会,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,忠义,欺骗,1,【第二场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,悲情,权谋,1,【第三场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,惊叹与嫉妒,权谋,1,【第八场】,scene_cooccurrence
pdf_01000000__01003002___acc415186d,群英会,权谋,识天文,1,【第七场】,scene_cooccurrence
