doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01003002___acc415186d,群英会,权谋,7,本场为全剧序幕，通过副标题形式预告《蒋干中计》《草船借箭》等核心情节，奠定智谋交锋基调。,llm
pdf_01000000__01003002___acc415186d,群英会,使命,2,周瑜借刀杀蔡瑁张允，诸葛亮识破计策；周瑜令诸葛亮三日内造箭十万，诸葛亮立军令状；蔡中蔡和诈降东吴，周瑜将计就计。,llm
pdf_01000000__01003002___acc415186d,群英会,忠义,2,周瑜升帐，闻蒋干过江，设群英会宴请，席间禁止谈论孙曹，并安排黄盖、甘宁等将计就计，准备诱使蒋干盗书。,llm
pdf_01000000__01003002___acc415186d,群英会,欺骗,2,周瑜设计让蒋干盗走假书信，假装与黄盖密谋取曹操首级，蒋干中计逃回江东，鲁肃担心计谋瞒不过诸葛亮。,llm
pdf_01000000__01003002___acc415186d,群英会,借力,1,诸葛亮利用大雾天气，率船队佯攻曹营，成功诱使曹操下令放箭，借得十万支箭，鲁肃从惊恐转为明白。,llm
pdf_01000000__01003002___acc415186d,群英会,冒险,1,诸葛亮利用大雾天气，率船队佯攻曹营，成功诱使曹操下令放箭，借得十万支箭，鲁肃从惊恐转为明白。,llm
pdf_01000000__01003002___acc415186d,群英会,反间,1,周瑜升帐，闻蒋干过江，设群英会宴请，席间禁止谈论孙曹，并安排黄盖、甘宁等将计就计，准备诱使蒋干盗书。,llm
pdf_01000000__01003002___acc415186d,群英会,宴会,1,周瑜升帐，闻蒋干过江，设群英会宴请，席间禁止谈论孙曹，并安排黄盖、甘宁等将计就计，准备诱使蒋干盗书。,llm
pdf_01000000__01003002___acc415186d,群英会,悲情,1,周瑜借刀杀蔡瑁张允，诸葛亮识破计策；周瑜令诸葛亮三日内造箭十万，诸葛亮立军令状；蔡中蔡和诈降东吴，周瑜将计就计。,llm
pdf_01000000__01003002___acc415186d,群英会,惊叹与嫉妒,1,鲁肃向周瑜报告诸葛亮草船借箭的经过，周瑜惊叹孔明神机妙算，并请其入帐。,llm
pdf_01000000__01003002___acc415186d,群英会,识天文,1,诸葛亮与鲁肃返回，鲁肃称赞诸葛亮神机妙算，诸葛亮解释因识天文而知大雾，二人清点箭支后准备交令，鲁肃仍心有余悸。,llm
