doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000001,pdf_01000000__01003003___c9d807e88a__scene__000,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《桑园会》（一名：《秋胡戏妻》；一名：《马蹄金》；一名：《辞楚归鲁》）,秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,,,秋胡,,1,,rule,,# 《桑园会》（一名：《秋胡戏妻》；一名：《马蹄金》；一名：《辞楚归鲁》）
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000023,pdf_01000000__01003003___c9d807e88a__scene__001,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,引子,"归心似箭,辞王驾,转回家园。",,,,,,,0,,,,"秋胡（引子）归心似箭,辞王驾,转回家园。"
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000023,pdf_01000000__01003003___c9d807e88a__scene__001,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,dialogue,dialogue,秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,白,带马。,,,,,,念白,0,,,,秋胡（白）带马。
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000023,pdf_01000000__01003003___c9d807e88a__scene__001,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,23,lyric,lyric,秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,西皮快三眼,"一日离家一日生,好似孤雁宿寒林。尽得忠来难尽孝,靴尖不离午朝门。虽然楚国为官好,还有思家一片心。无心观看路旁景,披星戴月转家门。",,,平,陈述,,来；看；唱段,1,llm,,0.9,"秋胡（西皮快三眼）一日离家一日生,好似孤雁宿寒林。尽得忠来难尽孝,靴尖不离午朝门。虽然楚国为官好,还有思家一片心。无心观看路旁景,披星戴月转家门。"
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,引子,"愁锁眉梢,每日里,奉养年高。",秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,,,,,0,,rule,,"罗氏（引子）愁锁眉梢,每日里,奉养年高。"
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,秋母,pdf_01000000__01003003___c9d807e88a__char__7822eb6f95,内白,作什么?,罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,,,,念白,0,,rule,,秋母（内白）作什么?
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,白,"媳妇去往桑园采桑,婆婆好生看守门户。",秋母,pdf_01000000__01003003___c9d807e88a__char__7822eb6f95,,,,去；看；念白,1,,rule,,"罗氏（白）媳妇去往桑园采桑,婆婆好生看守门户。"
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,秋母,pdf_01000000__01003003___c9d807e88a__char__7822eb6f95,内白,"媳妇儿,早去早回。",罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,,,,去；念白,0,,rule,,"秋母（内白）媳妇儿,早去早回。"
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,dialogue,dialogue,罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,白,媳妇知道。,秋母,pdf_01000000__01003003___c9d807e88a__char__7822eb6f95,,,,道；念白,0,,rule,,罗氏（白）媳妇知道。
pdf_01000000__01003003___c9d807e88a,桑园会,pdf_01000000__01003003___c9d807e88a__line__000027,pdf_01000000__01003003___c9d807e88a__scene__002,01003003_桑园会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003003_桑园会.pdf,01000000/01003003_桑园会.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,2,【第二场】,27,lyric,lyric,秋胡,pdf_01000000__01003003___c9d807e88a__char__145f2cd0b9,西皮流水板,"秋胡打马奔家乡,行人路上马蹄忙。坐在刁鞍用目望,见一位大嫂手攀桑。前影好似罗氏女,后影好似我妻房。本当下马将妻认,且慢。",罗氏,pdf_01000000__01003003___c9d807e88a__char__6925305228,,,秋胡；罗氏,上；下；打；坐；唱段,1,,rule,,"秋胡（西皮流水板）秋胡打马奔家乡,行人路上马蹄忙。坐在刁鞍用目望,见一位大嫂手攀桑。前影好似罗氏女,后影好似我妻房。本当下马将妻认,且慢。"
