doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,罗氏,秋母,对话/应答,对话,15,"愁锁眉梢,每日里,奉养年高。",pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋母,罗氏,对话/应答,对话,16,作什么?,pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,罗氏,秋胡,对话/应答,对话,22,媳妇知道。,pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡,罗氏,对话/应答,对话,21,"秋胡打马奔家乡,行人路上马蹄忙。坐在刁鞍用目望,见一位大嫂手攀桑。前影好似罗氏女,后影好似我妻房。本当下马将妻认,且慢。",pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,罗氏,秋胡罗氏,对话/应答,对话,1,"劝他回家他不往,不回来就罢。",pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡罗氏,秋胡,对话/应答,对话,1,"撇下了大嫂守空房。你好比明月空放亮,(西皮二六板) 你好比明珠土内藏。你好比鲜花空开放,卑人好比采花郎。大嫂若是从勾挡,我和你织女配牛郎。",pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡,秋母,对话/应答,对话,21,"好个贞节女娘行,论理可挂贞节坊。黄金不要抽身往,急忙回家奉高堂。",pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋母,秋胡,对话/应答,对话,20,好狂徒呀!,pdf_01000000__01003003___c9d807e88a__line__000027,adjacency,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡,罗氏,对抗,对抗,1,"秋胡打马奔家乡,行人路上马蹄忙。坐在刁鞍用目望,见一位大嫂手攀桑。前影好似罗氏女,后影好似我妻房。本当下马将妻认,且慢。",pdf_01000000__01003003___c9d807e88a__line__000027,mention,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡,罗氏,命令/请求,命令,1,"大嫂听了:站立在桑田把话讲,尊一声大嫂听端详:秋兄家住鲁国古田桑,姓秋名胡字高强。他父名叫秋祖旺,二十年前早已亡。他母柯氏六旬上,白发孀居在高堂。他妻名唤罗氏女",pdf_01000000__01003003___c9d807e88a__line__000027,mention,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋母,秋胡,提及,提及,2,你是我儿秋胡回来了?,pdf_01000000__01003003___c9d807e88a__line__000027,mention,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋胡,罗氏,试探,试探,5,秋胡在桑园假借问路调戏罗氏，以黄金引诱,,llm,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,罗氏,秋胡,对抗,对抗,5,罗氏严词拒绝秋胡调戏，并威胁告官,,llm,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋母,秋胡,命令,命令,4,秋母命秋胡向罗氏赔罪谢恩,,llm,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,罗氏,秋母,汇报,汇报,3,罗氏向秋母哭诉桑园被调戏经过,,llm,
pdf_01000000__01003003___c9d807e88a,桑园会,2,【第二场】,秋母,罗氏,协助,协助,4,秋母救下自尽的罗氏并安慰她,,llm,
