doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003006___ee399229b8,辕门斩子,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003006___ee399229b8,辕门斩子,情爱,战争,1,序幕/前置内容,scene_cooccurrence
