doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,包拯,马汉,对话/应答,对话,2,"一片丹心,保宋主,锦绣龙庭。",pdf_01000000__01003008___7111d9396e__line__000019,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,马汉,包拯,对话/应答,对话,1,有。,pdf_01000000__01003008___7111d9396e__line__000019,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,包拯,王朝,对话/应答,对话,1,人役可齐?,pdf_01000000__01003008___7111d9396e__line__000019,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,王朝,包拯,对话/应答,对话,1,俱已齐备。,pdf_01000000__01003008___7111d9396e__line__000019,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,王朝,包拯,对话/应答,对话,1,启爷:狂风刮去轿顶!,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,王朝,对话/应答,对话,1,"驻轿!怪道吓,怪道!霎时一阵狂风到,刮去轿顶为那条?想是妖魔魍魉到,定有恶棍与土豪。",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,王朝,地方,对话/应答,对话,1,传地方。,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,地方,包拯,对话/应答,对话,10,地方叩见大人!,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,地方,对话/应答,对话,8,罢了。此桥何名?,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,地方,众人,对话/应答,对话,1,"咋咋咋!哎呀,别的老爷,怕人家打官司;这位大人筛住锣,叫人家打官司!“官差不自由”,待我敲起来。哎!庙前庙后,百姓听者:今有包大人,陈州散粮而回,打此经过,在天",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,众人,地方,对话/应答,对话,1,没有冤枉。,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,地方,李后,对话/应答,对话,5,"你们没有冤枉,我也没有冤枉。我到那边去。哎!庙左庙右,百姓听者:今有包大人,陈州散粮而回,打此经过,在天齐庙宿堂。有什么冤枉,前去诉伸!",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,李后,地方,对话/应答,对话,6,"破瓦寒窑,有一瞎婆,有二十载的含冤!",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,李后,对话/应答,对话,16,"哽!胆大瞎婆,见了老夫,为何不跪?",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,李后,包拯,对话/应答,对话,17,"当跪者则跪,不当跪者,我是不跪!",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,马汉,对话/应答,对话,2,来!,pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,马汉,李后,对话/应答,对话,2,"包大人下位来了,上前来摸!",pdf_01000000__01003008___7111d9396e__line__000035,adjacency,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,王朝,地方,命令/请求,命令,1,传地方。,pdf_01000000__01003008___7111d9396e__line__000035,mention,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,地方,命令/请求,命令,2,传地方。,pdf_01000000__01003008___7111d9396e__line__000035,mention,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,李后,包拯,提及,提及,1,包拯!,pdf_01000000__01003008___7111d9396e__line__000035,mention,
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,包拯,王朝,命令,命令,2,包拯问人役可齐，王朝答俱已齐备,,llm,
pdf_01000000__01003008___7111d9396e,断太后,1,【第一场】,包拯,马汉,命令,命令,2,包拯问人役可齐，马汉答有,,llm,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,李后,包拯,申诉,申诉,5,李后向包拯诉说自己被刘妃郭槐陷害的冤情,,llm,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,李后,协助,协助,4,包拯下位让李后摸脑后异相，并承诺回朝奏本,,llm,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,地方,包拯,汇报,汇报,2,地方传话并带李后见包拯,,llm,
pdf_01000000__01003008___7111d9396e,断太后,4,【第四场】,包拯,地方,命令,命令,2,包拯命地方敲锣喊冤并打扫天齐庙,,llm,
