doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003008___7111d9396e,断太后,亲情,公案,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,亲情,家国,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,亲情,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,亲情,权谋,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,公案,家国,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,公案,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,公案,权谋,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,家国,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,家国,权谋,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,情爱,权谋,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,公案,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,公案,身份揭示,1,【第四场】,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,开场,铺垫,1,【第二场】,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,忠义,秩序,1,【第一场】,scene_cooccurrence
pdf_01000000__01003008___7111d9396e,断太后,忠义,身份揭示,1,【第四场】,scene_cooccurrence
