doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01003008___7111d9396e,断太后,公案,3,包拯在天齐庙宿堂，遇瞎婆李后申诉二十载冤情，李后道出刘妃与郭槐狸猫换太子之谋，包拯接驾并决意回朝奏本。,llm
pdf_01000000__01003008___7111d9396e,断太后,亲情,2,# 《断太后》（一名：《赵州桥》；一名：《天齐庙》）,keyword
pdf_01000000__01003008___7111d9396e,断太后,家国,2,# 《断太后》（一名：《赵州桥》；一名：《天齐庙》）,keyword
pdf_01000000__01003008___7111d9396e,断太后,忠义,2,包拯准备出行，询问人役是否齐备，王朝马汉回应后，包拯下令开道。,llm
pdf_01000000__01003008___7111d9396e,断太后,情爱,2,# 《断太后》（一名：《赵州桥》；一名：《天齐庙》）,keyword
pdf_01000000__01003008___7111d9396e,断太后,权谋,2,# 《断太后》（一名：《赵州桥》；一名：《天齐庙》）,keyword
pdf_01000000__01003008___7111d9396e,断太后,开场,1,地方上场，以一声‘哽哼’开场，为后续剧情铺垫气氛，暗示即将发生的事件。,llm
pdf_01000000__01003008___7111d9396e,断太后,秩序,1,包拯准备出行，询问人役是否齐备，王朝马汉回应后，包拯下令开道。,llm
pdf_01000000__01003008___7111d9396e,断太后,身份揭示,1,包拯在天齐庙宿堂，遇瞎婆李后申诉二十载冤情，李后道出刘妃与郭槐狸猫换太子之谋，包拯接驾并决意回朝奏本。,llm
pdf_01000000__01003008___7111d9396e,断太后,铺垫,1,地方上场，以一声‘哽哼’开场，为后续剧情铺垫气氛，暗示即将发生的事件。,llm
