doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000001,pdf_01000000__01003009___821dbef739__scene__000,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《打龙袍》,,,,,,打,0,,,,# 《打龙袍》
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000031,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,31,stage_direction,stage_direction,,,宋仁宗上，太监上。,,,,,,,上,0,,,,（宋仁宗上，太监上。）
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000033,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,stage_direction,stage_direction,宋仁宗,pdf_01000000__01003009___821dbef739__char__f6f03c2694,引子,,,,,,,,0,,,,宋仁宗 （引子）
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000035,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,stage_direction,stage_direction,,,念,,,,,,,,0,,,,（念）
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000037,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000039,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,narration,narration,,,,凤阁龙楼，万古千秋。,,,,,,,0,,,,凤阁龙楼，万古千秋。
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000041,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,narration,narration,,,,平顶冠纱一鲜花，太阳一出照硃砂。南大一带朝北斗，孤是万民第一家。,,,,,,,1,,,,平顶冠纱一鲜花，太阳一出照硃砂。南大一带朝北斗，孤是万民第一家。
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000043,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,43,narration,narration,,,,孤，大宋天子仁宗在位。自孤登基以来，风调雨顺，国泰民安。今当早朝。,,,,,,来,1,,,,孤，大宋天子仁宗在位。自孤登基以来，风调雨顺，国泰民安。今当早朝。
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000045,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,narration,narration,,,,内臣！,,,,,,,0,,,,内臣！
pdf_01000000__01003009___821dbef739,打龙袍,pdf_01000000__01003009___821dbef739__line__000047,pdf_01000000__01003009___821dbef739__scene__001,01003009_打龙袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003009_打龙袍.pdf,01000000/01003009_打龙袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,stage_direction,stage_direction,,,太监允。,,,,,,,,0,,,,（太监允。）
