doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,pdf_01000000__01003009___821dbef739__char__f6f03c2694,15,102,1.0,1.0,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,包拯,pdf_01000000__01003009___821dbef739__char__169188b71a,9,90,0.6,0.8824,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,李后,pdf_01000000__01003009___821dbef739__char__6df16d77bc,9,47,0.6,0.4608,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,陈琳,pdf_01000000__01003009___821dbef739__char__0077e0147e,6,32,0.4,0.3137,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,王延龄,pdf_01000000__01003009___821dbef739__char__d31a4ca5c9,6,20,0.4,0.1961,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,灯官,pdf_01000000__01003009___821dbef739__char__246c5569e6,4,9,0.2667,0.0882,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,郭槐,pdf_01000000__01003009___821dbef739__char__bc613f8e06,2,7,0.1333,0.0686,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,四大铠,pdf_01000000__01003009___821dbef739__char__e2ab43bf40,2,2,0.1333,0.0196,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,太监,pdf_01000000__01003009___821dbef739__char__4c5e0239c6,2,2,0.1333,0.0196,relations_aggregated
pdf_01000000__01003009___821dbef739,打龙袍,内侍,pdf_01000000__01003009___821dbef739__char__a2889dba68,1,1,0.0667,0.0098,relations_aggregated
