doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,宋仁宗,包拯,对话/应答,对话,5,包相平身。,pdf_01000000__01003009___821dbef739__line__000103,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,包拯,宋仁宗,对话/应答,对话,4,谢万岁!,pdf_01000000__01003009___821dbef739__line__000103,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,包拯,王延龄,对话/应答,对话,1,领旨。,pdf_01000000__01003009___821dbef739__line__000103,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,王延龄,宋仁宗,对话/应答,对话,1,"辞别万岁下殿往,去到午门看端详。",pdf_01000000__01003009___821dbef739__line__000103,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,灯官,宋仁宗,对话/应答,对话,2,参见万岁！,pdf_01000000__01003009___821dbef739__line__000113,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,宋仁宗,灯官,对话/应答,对话,1,将灯名报上来。,pdf_01000000__01003009___821dbef739__line__000115,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,宋仁宗,包拯,对话/应答,对话,4,哎吓！胆大的灯官，扮这样不忠不孝的灯。校尉，将扮灯官拿下！,pdf_01000000__01003009___821dbef739__line__000131,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,包拯,宋仁宗,对话/应答,对话,4,且慢！万岁，为何将扮灯官拿下？,pdf_01000000__01003009___821dbef739__line__000133,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,宋仁宗,王延龄,对话/应答,对话,1,呔！,pdf_01000000__01003009___821dbef739__line__000147,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,王延龄,包拯,对话/应答,对话,1,"回头埋怨小包拯。有本就该当殿奏,为什么扮灯藐视君?",pdf_01000000__01003009___821dbef739__line__000149,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,宋仁宗,灯官,对抗,对抗,1,哎吓！胆大的灯官，扮这样不忠不孝的灯。校尉，将扮灯官拿下！,pdf_01000000__01003009___821dbef739__line__000131,mention,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,包拯,灯官,问答,对话,1,且慢！万岁，为何将扮灯官拿下？,pdf_01000000__01003009___821dbef739__line__000133,mention,
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,王延龄,包拯,提及,提及,1,"回头埋怨小包拯。有本就该当殿奏,为什么扮灯藐视君?",pdf_01000000__01003009___821dbef739__line__000149,mention,
