doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01003009___821dbef739,打龙袍,包拯,宋仁宗,汇报,25,劝阻；对话；汇报；试探；邀请,臣有散粮表章呈上,llm,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,包拯,命令,23,同场共现；命令；对话；提及,"内侍摆驾金殿进,唤上包拯问根原。",llm,
pdf_01000000__01003009___821dbef739,打龙袍,李后,包拯,汇报,21,协助；命令；对话；提及；汇报；评价,"龙车凤辇进皇城,陈琳、包拯、宋仁宗、李后同上。)御街上来了我受苦之人。赵州桥前遇包拯,二十载冤仇报得清。观不见汴梁城花花美景,观不见汴梁城老小子民。来至在午门外",mention,
pdf_01000000__01003009___821dbef739,打龙袍,陈琳,宋仁宗,汇报,14,对话；汇报,陈琳揭露狸猫换太子真相,llm,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,陈琳,对话,9,,"亚父平身,赐坐。",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,包拯,李后,协助,8,协助；对话,包拯领旨并打龙袍代罚,llm,
pdf_01000000__01003009___821dbef739,打龙袍,王延龄,包拯,对抗,8,劝阻；同场共现；对抗；对话；提及,包拯拿到。,mention,
pdf_01000000__01003009___821dbef739,打龙袍,李后,宋仁宗,汇报,6,对抗；汇报,"龙车凤辇进皇城,陈琳、包拯、宋仁宗、李后同上。)御街上来了我受苦之人。赵州桥前遇包拯,二十载冤仇报得清。观不见汴梁城花花美景,观不见汴梁城老小子民。来至在午门外",mention,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,灯官,对抗,5,命令；对抗；对话,哎吓！胆大的灯官，扮这样不忠不孝的灯。校尉，将扮灯官拿下！,llm,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,郭槐,命令,5,命令；对话,宋仁宗下令将郭槐碎尸万段,llm,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,王延龄,同场共现,4,同场共现；对话,（太监、宋仁宗、包拯、王延龄同上。）,stage_direction,
pdf_01000000__01003009___821dbef739,打龙袍,李后,陈琳,汇报,4,提及；汇报；评价,"龙车凤辇进皇城,陈琳、包拯、宋仁宗、李后同上。)御街上来了我受苦之人。赵州桥前遇包拯,二十载冤仇报得清。观不见汴梁城花花美景,观不见汴梁城老小子民。来至在午门外",mention,
pdf_01000000__01003009___821dbef739,打龙袍,李后,王延龄,评价,3,对话；提及；评价,王延龄在朝中忠心秉正,llm,
pdf_01000000__01003009___821dbef739,打龙袍,王延龄,宋仁宗,汇报,3,对话；汇报,包拯回朝，已在午门候旨,llm,
pdf_01000000__01003009___821dbef739,打龙袍,包拯,陈琳,协助,2,,包拯请陈琳作证,llm,
pdf_01000000__01003009___821dbef739,打龙袍,灯官,宋仁宗,对话,2,,参见万岁！,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,郭槐,宋仁宗,对话,2,,原来是一党奸臣在此!,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,陈琳,李后,提及,2,对话；提及,"既是国太还在,有老王游玩御花园,赐与李后黄罗手帕,上有寇老先生题诗句为证。",mention,
pdf_01000000__01003009___821dbef739,打龙袍,包拯,灯官,对话,1,,且慢！万岁，为何将扮灯官拿下？,mention,
pdf_01000000__01003009___821dbef739,打龙袍,包拯,王延龄,对话,1,,领旨。,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,四大铠,宋仁宗,对话,1,,"刘娘娘自尽,郭槐拿到!",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,太监,陈琳,对话,1,,"万岁有旨:金牌宣,银牌召,领旨!",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,四大铠,对话,1,,拜你如同拜先人。,adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,太监,对话,1,,"内侍,金牌宣,银牌召,宣亚",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,宋仁宗,李后,对话,1,,"儿臣见驾,母后千岁!",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,李后,内侍,对话,1,,"本后回朝,内帘官、外帘官,加升三级。光禄寺大摆筵席,与包卿贺功!",adjacency,
pdf_01000000__01003009___821dbef739,打龙袍,灯官,包拯,汇报,1,,奉了包相命，午门扮花灯,llm,
pdf_01000000__01003009___821dbef739,打龙袍,王延龄,李后,对话,1,,"王延龄见驾,国太千岁!",adjacency,
