doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003009___821dbef739,打龙袍,家国,忠义,4,【第二场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,公案,家国,2,【第四场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,公案,忠义,2,【第四场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,公案,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,功绩,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,功绩,设局,1,【第一场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,孝道与认亲,忠义,1,【第三场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,孝道与认亲,权力清算,1,【第三场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,孝道与认亲,真相揭露,1,【第三场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,家国,皇权更迭,1,【第六场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,家国,谏诤,1,【第二场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,权力清算,1,【第三场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,皇权更迭,1,【第六场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,真相揭露,1,【第三场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,设局,1,【第一场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,忠义,谏诤,1,【第二场】,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003009___821dbef739,打龙袍,权力清算,真相揭露,1,【第三场】,scene_cooccurrence
