doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,【第一场】,忠君,忠义,1,包拯；宋仁宗；王延龄,包拯陈州放粮回朝，向宋仁宗呈上散粮表章，仁宗欲设宴贺功，包拯以午门花灯大会相邀，仁宗应允明日观灯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,【第一场】,功绩,功绩,1,包拯；宋仁宗；王延龄,包拯陈州放粮回朝，向宋仁宗呈上散粮表章，仁宗欲设宴贺功，包拯以午门花灯大会相邀，仁宗应允明日观灯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,1,【第一场】,【第一场】,设局,设局,1,包拯；宋仁宗；王延龄,包拯陈州放粮回朝，向宋仁宗呈上散粮表章，仁宗欲设宴贺功，包拯以午门花灯大会相邀，仁宗应允明日观灯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,【第二场】,忠孝,忠义,1,包拯；宋仁宗；灯官；王延龄,灯官奉包拯之命扮灯，宋仁宗因不忠不孝灯怒欲拿灯官，包拯借机暗示朝中有不忠不孝之人，王延龄劝阻包拯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,【第二场】,谏诤,谏诤,1,包拯；宋仁宗；灯官；王延龄,灯官奉包拯之命扮灯，宋仁宗因不忠不孝灯怒欲拿灯官，包拯借机暗示朝中有不忠不孝之人，王延龄劝阻包拯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,2,【第二场】,【第二场】,君臣冲突,家国,1,包拯；宋仁宗；灯官；王延龄,灯官奉包拯之命扮灯，宋仁宗因不忠不孝灯怒欲拿灯官，包拯借机暗示朝中有不忠不孝之人，王延龄劝阻包拯。,llm
pdf_01000000__01003009___821dbef739,打龙袍,3,【第三场】,【第三场】,忠奸斗争,忠义,1,包拯；四大铠；太监；宋仁宗；王延龄；郭槐；陈琳,包拯因扮灯藐君被宋仁宗问罪，他陈述陈州放粮遇李后伸冤之事，并请陈琳作证。陈琳揭露刘后与郭槐狸猫换太子旧案，宋仁宗醒悟，赦免包拯，处死郭槐，准备迎接国太。,llm
pdf_01000000__01003009___821dbef739,打龙袍,3,【第三场】,【第三场】,真相揭露,真相揭露,1,包拯；四大铠；太监；宋仁宗；王延龄；郭槐；陈琳,包拯因扮灯藐君被宋仁宗问罪，他陈述陈州放粮遇李后伸冤之事，并请陈琳作证。陈琳揭露刘后与郭槐狸猫换太子旧案，宋仁宗醒悟，赦免包拯，处死郭槐，准备迎接国太。,llm
pdf_01000000__01003009___821dbef739,打龙袍,3,【第三场】,【第三场】,孝道与认亲,孝道与认亲,1,包拯；四大铠；太监；宋仁宗；王延龄；郭槐；陈琳,包拯因扮灯藐君被宋仁宗问罪，他陈述陈州放粮遇李后伸冤之事，并请陈琳作证。陈琳揭露刘后与郭槐狸猫换太子旧案，宋仁宗醒悟，赦免包拯，处死郭槐，准备迎接国太。,llm
pdf_01000000__01003009___821dbef739,打龙袍,3,【第三场】,【第三场】,权力清算,权力清算,1,包拯；四大铠；太监；宋仁宗；王延龄；郭槐；陈琳,包拯因扮灯藐君被宋仁宗问罪，他陈述陈州放粮遇李后伸冤之事，并请陈琳作证。陈琳揭露刘后与郭槐狸猫换太子旧案，宋仁宗醒悟，赦免包拯，处死郭槐，准备迎接国太。,llm
pdf_01000000__01003009___821dbef739,打龙袍,4,【第四场】,【第四场】,忠奸对立,忠义,1,包拯；李后；王延龄；陈琳,李后进入皇城，接受王延龄、陈琳、包拯的朝拜，表达二十载冤仇得报的感慨，并褒奖忠臣。,llm
pdf_01000000__01003009___821dbef739,打龙袍,4,【第四场】,【第四场】,冤屈昭雪,公案,1,包拯；李后；王延龄；陈琳,李后进入皇城，接受王延龄、陈琳、包拯的朝拜，表达二十载冤仇得报的感慨，并褒奖忠臣。,llm
pdf_01000000__01003009___821dbef739,打龙袍,4,【第四场】,【第四场】,君臣伦理,家国,1,包拯；李后；王延龄；陈琳,李后进入皇城，接受王延龄、陈琳、包拯的朝拜，表达二十载冤仇得报的感慨，并褒奖忠臣。,llm
pdf_01000000__01003009___821dbef739,打龙袍,6,【第六场】,【第六场】,忠奸分明,忠义,1,内侍；包拯；宋仁宗；李后,李后命包拯责打宋仁宗，包拯以打龙袍代君受罚，李后封赏包拯并赐上方剑，彰显忠奸分明与皇权更迭。,llm
pdf_01000000__01003009___821dbef739,打龙袍,6,【第六场】,【第六场】,皇权更迭,皇权更迭,1,内侍；包拯；宋仁宗；李后,李后命包拯责打宋仁宗，包拯以打龙袍代君受罚，李后封赏包拯并赐上方剑，彰显忠奸分明与皇权更迭。,llm
pdf_01000000__01003009___821dbef739,打龙袍,6,【第六场】,【第六场】,君臣关系,家国,1,内侍；包拯；宋仁宗；李后,李后命包拯责打宋仁宗，包拯以打龙袍代君受罚，李后封赏包拯并赐上方剑，彰显忠奸分明与皇权更迭。,llm
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《打龙袍》,keyword
pdf_01000000__01003009___821dbef739,打龙袍,5,【第五场】,【第五场】,公案,公案,1,,众人伴随吹打音乐一同下场，本场为过场戏，无具体情节推进或角色互动。,keyword
pdf_01000000__01003009___821dbef739,打龙袍,5,【第五场】,【第五场】,情爱,情爱,1,,众人伴随吹打音乐一同下场，本场为过场戏，无具体情节推进或角色互动。,keyword
