doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,王霸,众百姓,对话/应答,对话,2,恨奸贼暗地里将长安来献，,pdf_01000000__01003010___2fda4a58c1__line__000027,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,众百姓,王霸,对话/应答,对话,2,苦吓！,pdf_01000000__01003010___2fda4a58c1__line__000043,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,王霸,刘忠,对话/应答,对话,8,那壁厢饥饿得人人叫天。,pdf_01000000__01003010___2fda4a58c1__line__000049,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,刘忠,王霸,对话/应答,对话,8,呼庚唤癸天地惨，,pdf_01000000__01003010___2fda4a58c1__line__000057,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,刘忠,王霸,对话/应答,对话,6,"原来老爷想把二夫人杀了,以为犒赏军卒,好叫他们守护城池,可是么?",pdf_01000000__01003010___2fda4a58c1__line__000085,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,王霸,刘忠,对话/应答,对话,5,然也。,pdf_01000000__01003010___2fda4a58c1__line__000085,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,刘忠,军士,问答,对话,1,"哎呀,老爷吓!你的忠心义胆,可与日月争光。只是二主母,是一位贤德的夫人。不要说是叫小人前去杀她,就听了这番言语,不觉心似箭穿。老爷若要犒赏军士,容易。何不将小人",pdf_01000000__01003010___2fda4a58c1__line__000085,mention,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,王霸,军士,汇报,汇报,1,"王霸吓王霸吓,你自己要报国恩,何必去杀妻妾。不如我一死,以飨军士。",pdf_01000000__01003010___2fda4a58c1__line__000085,mention,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,徐艳贞,刘忠,对话/应答,对话,13,到底是要什么?,pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,刘忠,徐艳贞,对话/应答,对话,13,要借粮。,pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,徐艳贞,王霸,对话/应答,对话,2,"哦吓吓,大夫人吓。此时间好叫我有路难奔,",pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,王霸,徐艳贞,对话/应答,对话,1,刘忠!,pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,王霸,刘忠,对话/应答,对话,1,"贞娘你不必为难,先自解谐,以明我不忍杀你之心。",pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,刘忠,王霸,对话/应答,对话,1,"哎呀,老爷吓!",pdf_01000000__01003010___2fda4a58c1__line__000201,adjacency,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,徐艳贞,刘忠,问答,对话,1,"刘忠,你那宝剑,它、它、它、它是哪里来的吓?",pdf_01000000__01003010___2fda4a58c1__line__000201,mention,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,徐艳贞,刘忠,提及,提及,1,"刘忠带路前堂进,",pdf_01000000__01003010___2fda4a58c1__line__000201,mention,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,王霸,刘忠,提及,提及,1,刘忠!,pdf_01000000__01003010___2fda4a58c1__line__000201,mention,
pdf_01000000__01003010___2fda4a58c1,战蒲关,3,【第四场】,徐艳贞,刘忠,同场共现,同场共现,1,（刘忠刺徐艳贞。）,pdf_01000000__01003010___2fda4a58c1__line__000159,stage_direction,
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,刘忠,王霸,汇报,汇报,3,刘忠向王霸汇报城中粮尽、百姓易子而食的惨状,pdf_01000000__01003010___2fda4a58c1__line__000159,llm,
pdf_01000000__01003010___2fda4a58c1,战蒲关,1,【第一场】,王霸,刘忠,命令,命令,2,王霸命刘忠去安慰百姓,pdf_01000000__01003010___2fda4a58c1__line__000159,llm,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,刘忠,王霸,劝阻,劝阻,3,刘忠劝阻王霸杀二夫人，并愿代死。,pdf_01000000__01003010___2fda4a58c1__line__000159,llm,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,王霸,刘忠,命令,命令,4,王霸命令刘忠去杀二夫人。,pdf_01000000__01003010___2fda4a58c1__line__000159,llm,
pdf_01000000__01003010___2fda4a58c1,战蒲关,2,【第二场】,刘忠,王霸,评价,评价,2,刘忠称赞王霸忠心义胆。,pdf_01000000__01003010___2fda4a58c1__line__000159,llm,
