doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000001,pdf_01000000__01003011___a844c57d4e__scene__000,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,# 《斩黄袍》 （一名：《斩郑恩》）,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,,,郑恩,,1,,rule,,# 《斩黄袍》 （一名：《斩郑恩》）
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000033,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,stage_direction,stage_direction,,,四文堂引赵匡胤、郑恩同上。,,,,,,,上,0,,,,（四文堂引赵匡胤、郑恩同上。）
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000035,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,念,少游关西创帝邦，,,,,,,,0,,,,赵匡胤 （念） 少游关西创帝邦，
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000037,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,念,董家桥头摆战场。,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,,,,,0,,rule,,郑恩 （念） 董家桥头摆战场。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000039,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,念,鞭坠董龙董虎丧，,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,,,,,0,,rule,,赵匡胤 （念） 鞭坠董龙董虎丧，
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000041,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,念,保定大哥做帝王。,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,,,,,0,,rule,,郑恩 （念） 保定大哥做帝王。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000043,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,43,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,白,本藩南宋王赵匡胤。,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,,,赵匡胤,念白,0,,rule,,赵匡胤 （白） 本藩南宋王赵匡胤。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000045,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,白,本藩北平王郑子明。,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,,,,念白,0,,rule,,郑恩 （白） 本藩北平王郑子明。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000047,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,白,三弟请坐。,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,,,,请；坐；念白,0,,rule,,赵匡胤 （白） 三弟请坐。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000049,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,49,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,白,二哥请坐。二哥，大哥晏驾，不知傅后怎样的传旨？,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,疑,质问,,请；传；坐；念白,1,llm,llm,0.8,郑恩 （白） 二哥请坐。二哥，大哥晏驾，不知傅后怎样的传旨？
