doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000001,pdf_01000000__01003011___a844c57d4e__scene__000,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,0,序幕/前置内容,1,narration,narration,,,,说明,,,郑恩,# 《斩黄袍》 （一名：《斩郑恩》）,# 《斩黄袍》 （一名：《斩郑恩》）
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000033,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,33,stage_direction,stage_direction,,,四文堂引赵匡胤、郑恩同上。,做,四文堂引赵匡胤、郑恩同上。,上,赵匡胤；郑恩,,（四文堂引赵匡胤、郑恩同上。）
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000035,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,35,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,念,念,念,,赵匡胤,少游关西创帝邦，,赵匡胤 （念） 少游关西创帝邦，
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000037,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,37,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,念,念,念,,郑恩,董家桥头摆战场。,郑恩 （念） 董家桥头摆战场。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000039,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,39,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,念,念,念,,赵匡胤,鞭坠董龙董虎丧，,赵匡胤 （念） 鞭坠董龙董虎丧，
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000041,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,41,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,念,念,念,,郑恩,保定大哥做帝王。,郑恩 （念） 保定大哥做帝王。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000043,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,43,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,白,白,白,念白,赵匡胤,本藩南宋王赵匡胤。,赵匡胤 （白） 本藩南宋王赵匡胤。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000045,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,45,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,白,白,白,念白,郑恩,本藩北平王郑子明。,郑恩 （白） 本藩北平王郑子明。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000047,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,47,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,白,白,白,请；坐；念白,赵匡胤,三弟请坐。,赵匡胤 （白） 三弟请坐。
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000049,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,49,dialogue,dialogue,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,白,白,白,请；传；坐；念白,郑恩,二哥请坐。二哥，大哥晏驾，不知傅后怎样的传旨？,郑恩 （白） 二哥请坐。二哥，大哥晏驾，不知傅后怎样的传旨？
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__line__000051,pdf_01000000__01003011___a844c57d4e__scene__001,01003011_斩黄袍.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003011_斩黄袍.pdf,01000000/01003011_斩黄袍.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,1,【第一场】,51,dialogue,dialogue,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,白,白,白,来；念白,赵匡胤,等先生御亲到来，便知分晓。,赵匡胤 （白） 等先生御亲到来，便知分晓。
