doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,pdf_01000000__01003011___a844c57d4e__char__72668eef72,19,171,1.0,1.0,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,pdf_01000000__01003011___a844c57d4e__char__0fc20654bc,17,117,0.8947,0.6842,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,pdf_01000000__01003011___a844c57d4e__char__61f13d5518,13,50,0.6842,0.2924,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,高怀德,pdf_01000000__01003011___a844c57d4e__char__c766491bbd,11,86,0.5789,0.5029,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,陶三春,pdf_01000000__01003011___a844c57d4e__char__e52cb8b02b,9,36,0.4737,0.2105,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,苗顺,pdf_01000000__01003011___a844c57d4e__char__bcdba448ac,8,33,0.4211,0.193,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑英,pdf_01000000__01003011___a844c57d4e__char__3ee7c6ada5,7,26,0.3684,0.152,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,众武士,pdf_01000000__01003011___a844c57d4e__char__0af440b140,7,18,0.3684,0.1053,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩素梅,pdf_01000000__01003011___a844c57d4e__char__0ac09d8c88,5,15,0.2632,0.0877,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,太监,pdf_01000000__01003011___a844c57d4e__char__c6e2af2456,4,24,0.2105,0.1404,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,众人,pdf_01000000__01003011___a844c57d4e__char__7f0b3368cb,4,5,0.2105,0.0292,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,龙套,pdf_01000000__01003011___a844c57d4e__char__b3ca8681bb,4,8,0.2105,0.0468,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,黄花真人,pdf_01000000__01003011___a844c57d4e__char__b70227e412,3,6,0.1579,0.0351,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,二童子,pdf_01000000__01003011___a844c57d4e__char__022b265ef7,3,4,0.1579,0.0234,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,神仙,pdf_01000000__01003011___a844c57d4e__char__8a68ead88d,3,4,0.1579,0.0234,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,家院,pdf_01000000__01003011___a844c57d4e__char__64f848f8e7,3,4,0.1579,0.0234,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,二童子扶神仙,pdf_01000000__01003011___a844c57d4e__char__7b7b8ff392,3,3,0.1579,0.0175,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,神仙写,pdf_01000000__01003011___a844c57d4e__char__a710e4c420,3,3,0.1579,0.0175,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑高苗,pdf_01000000__01003011___a844c57d4e__char__43c039a059,2,4,0.1053,0.0234,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,黄门官,pdf_01000000__01003011___a844c57d4e__char__28bf593c87,2,3,0.1053,0.0175,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,报子,pdf_01000000__01003011___a844c57d4e__char__db2c464a5a,2,2,0.1053,0.0117,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,文堂甲,pdf_01000000__01003011___a844c57d4e__char__8329b9faa8,2,2,0.1053,0.0117,relations_aggregated
pdf_01000000__01003011___a844c57d4e,斩黄袍,武士,pdf_01000000__01003011___a844c57d4e__char__26d1af98e1,2,2,0.1053,0.0117,relations_aggregated
