doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,郑恩,命令,33,协助；同场共现；命令；对话,赵匡胤下令绑了郑恩,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,赵匡胤,对抗,32,协助；对抗；对话,郑恩指责赵匡胤，赵匡胤下令绑斩郑恩,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,高怀德,赵匡胤,协助,24,劝阻；协助；对话,高怀德参与加袍劝进,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,高怀德,命令,21,协助；命令；对话,孤王赐你尚方剑，朝里朝外要查得清,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,陶三春,赵匡胤,对抗,11,对抗；对话,骂声昏王无道君，不认得姑娘陶三春！,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,太监,高怀德,对话,10,,"原来是高御亲,到此何事?",adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,陶三春,提及,10,对话；提及；试探,"孤王一言错出唇,城下逼反陶三春!眼望着养老院一声叫:我的娘吓!没奈何好言对他论,罢罢罢!将弟妹封在养老......",mention,
pdf_01000000__01003011___a844c57d4e,斩黄袍,高怀德,太监,对话,10,,见了公公说端详。,adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,苗顺,命令,8,协助；同场共现；命令；对话；提及,孤王赐你一道本，晓喻傅后把宫腾,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,郑英,对话,8,劝阻；对话,"法场上绑得我两眼昏,抬头只见小娇生。不在学堂习经纶,来到法场为何因?",adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,赵匡胤,协助,8,协助；对话,韩龙主动请命监斩郑恩,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑英,郑恩,协助,7,协助；对话,郑英探监并欲回府点兵救父。,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,高怀德,陶三春,对抗,7,协助；对抗；对话,"回头便对御亲论,弟妹人马你要当承。听说反了陶三春,不由我心中喜盈盈。任她反来任她杀,怀德不管这闲事情!",mention,
pdf_01000000__01003011___a844c57d4e,斩黄袍,苗顺,赵匡胤,协助,6,协助；对话,苗顺提议将皇袍加于赵匡胤身上,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,赵匡胤,韩龙,提及,6,对话；提及,河北韩龙。,mention,
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,郑恩,对抗,6,对抗；对话,韩龙下令绑郑恩并催促斩首。,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,众武士,韩龙,对话,5,,吠!,adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,苗顺,同场共现,5,同场共现；对话,（四文堂引赵匡胤、郑恩、苗顺、高怀德同下。）,stage_direction,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,韩龙,提及,5,对话；提及,韩龙呢?,mention,
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,韩素梅,协助,5,协助；对话,把你进妃,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,苗顺,郑恩,对话,4,,"皇后传下旨意:此有冲天冠、赭黄袍,付与哪家千岁执掌,三年五载,太子成龙,原业归宗。",adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,苗顺,高怀德,对话,4,,"昨夜晚在灯下占就一课,算就了老苍龙命归天河。",adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,众武士,对话,4,,他是何人?,adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,韩龙,郑英,对抗,4,对抗；对话,韩龙下令要杀郑英。,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,高怀德,苗顺,对话,4,,二位千岁！,adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,黄花真人,郑英,协助,4,,黄花真人救走郑英并承诺教其武艺。,llm,
pdf_01000000__01003011___a844c57d4e,斩黄袍,众武士,郑恩,对话,3,,"启三千岁:江山也是你家的,社稷也是你家的。今日不受一绑,恐满朝文武不服。",adjacency,
pdf_01000000__01003011___a844c57d4e,斩黄袍,郑恩,众武士,对话,3,,"哇!这个囚娘养的,谁敢动手?",adjacency,
