doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,忠义,2,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,复仇,忠义,2,【第十二场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,使命,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,复仇,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,家国,1,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,幽冥,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,权力与猜忌,1,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,仪式,权力交接,1,【第三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,公案,1,【第十一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,复仇,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,幽冥,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,权力交接,1,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,使命,神秘预示,1,【第二场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,公案,忠义,1,【第十一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,复仇,幽冥,1,【第十三场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,复仇,权力妥协,1,【第十四场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,复仇,权力斗争,1,【第十二场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,家国,忠义,1,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,家国,权力与猜忌,1,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权力与猜忌,1,【第八场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权力交接,1,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权力妥协,1,【第十四场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权力斗争,1,【第十二场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,忠义,权力象征,1,【第七场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力,纳妃,1,【第六场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力交接,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力巩固,权谋,1,【第四场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,权力巩固,登基封赏,1,【第四场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,权谋,登基封赏,1,【第四场】,scene_cooccurrence
pdf_01000000__01003011___a844c57d4e,斩黄袍,烦闷,独处,1,【第十场】,scene_cooccurrence
