doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__001,1,【第一场】,转折,推进,3,0.6,0.8261,0.0435,0.8696,赵匡胤从不知情到被迫接受皇位，权力交接的关键转折。,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__002,2,【第二场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无显著转折，仅为神秘预示。,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__003,3,【第三场】,铺垫,铺垫,1,0.2,0.0,0.0,0.0,无显著转折,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__004,4,【第四场】,发展,推进,2,0.4,5.75,1.5,7.25,韩龙兄妹决定进妃，为后续冲突埋下伏笔,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__005,5,【第六场】,铺垫,引子,1,0.2,0.1667,0.0,0.1667,无转折，为后续冲突做铺垫,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__006,6,【第七场】,铺垫,引子,1,0.2,0.1071,0.0,0.1071,无显著转折，仅为日常仪式性场景,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__007,7,【第八场】,高潮,高潮,5,1.0,5.8333,0.6667,6.5,冲突升级：郑恩被绑赴斩，高怀德决定武装阻刑,1,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__008,8,【第十场】,铺垫,引子,1,0.2,0.125,0.0,0.125,无显著转折，仅为情绪铺垫,0,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__009,9,【第十一场】,高潮,高潮,5,1.0,3.0,1.25,4.25,郑英被救走，郑恩被斩，忠臣遇害，冲突达到顶点。,1,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__010,10,【第十二场】,冲突,推进,4,0.8,0.25,0.0,0.25,陶三春从悲痛转为决断，冲突升级为武装反抗。,1,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__011,11,【第十三场】,发展,推进,4,0.8,0.0,0.0714,0.0714,陶三春得知儿子被救，复仇决心更加坚定，冲突升级。,1,scene_metrics
pdf_01000000__01003011___a844c57d4e,斩黄袍,pdf_01000000__01003011___a844c57d4e__scene__012,12,【第十四场】,高潮,对峙,5,1.0,3.1111,2.4444,5.5556,赵匡胤从强硬到妥协，答应陶三春条件，冲突暂时缓解。,1,scene_metrics
