doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003012___c2beeb2822,彩楼配,薛平贵,pdf_01000000__01003012___c2beeb2822__char__f4365a454c,9,37,1.0,1.0,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,游人丁,pdf_01000000__01003012___c2beeb2822__char__fd9072a829,7,31,0.7778,0.8378,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,王宝钏,pdf_01000000__01003012___c2beeb2822__char__43e3dc2e9a,7,37,0.7778,1.0,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,门官,pdf_01000000__01003012___c2beeb2822__char__75e2e34e6c,5,32,0.5556,0.8649,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,丫鬟,pdf_01000000__01003012___c2beeb2822__char__ed57f9fe00,4,17,0.4444,0.4595,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,月老,pdf_01000000__01003012___c2beeb2822__char__b873e9165b,4,6,0.4444,0.1622,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,游人甲,pdf_01000000__01003012___c2beeb2822__char__2c2b8b448a,3,7,0.3333,0.1892,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,四游人,pdf_01000000__01003012___c2beeb2822__char__826ce4b0f8,3,5,0.3333,0.1351,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,游人丙,pdf_01000000__01003012___c2beeb2822__char__36393e3b34,2,8,0.2222,0.2162,relations_aggregated
pdf_01000000__01003012___c2beeb2822,彩楼配,游人乙,pdf_01000000__01003012___c2beeb2822__char__445e23d514,2,8,0.2222,0.2162,relations_aggregated
