doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,王宝钏,薛平贵,对话/应答,对话,6,"捧定香炉,带路花园。",pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,薛平贵,王宝钏,对话/应答,对话,7,"肚中饥饿路难往,身上寒冷实难挡。将身来在大街上,抬头只见大门墙。俺薛平贵,乃长安人氏,时运不佳,落在乞讨之中。来此已是王相府花园门首待我打睡片时便了。正是:一心",pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,王宝钏,丫鬟,对话/应答,对话,7,"丫鬟,我闷坐花园,哪里玩耍才好?",pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,丫鬟,王宝钏,对话/应答,对话,6,花园门外玩耍。,pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,丫鬟,薛平贵,对话/应答,对话,2,遵命。花郎醒来。,pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,薛平贵,丫鬟,对话/应答,对话,1,"原来丫鬟姐,唤我何事?",pdf_01000000__01003012___c2beeb2822__line__000031,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人甲,游人乙,对话/应答,对话,2,"春游芳草地,",pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人乙,游人丙,对话/应答,对话,2,夏赏绿荷池。,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人丙,游人丁,对话/应答,对话,2,"秋饮黄花酒,",pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人丁,四游人,对话/应答,对话,1,冬吟白雪诗。,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,四游人,游人甲,对话/应答,对话,1,"请了。今有王相府,高搭彩楼,抛球招婿。你我前去走走,请了请了。",pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人丁,门官,对话/应答,对话,10,"列位,",pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,门官,游人丁,对话/应答,对话,10,你这老头儿做什么?,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人丁,薛平贵,对话/应答,对话,1,剃头的等着。,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,薛平贵,门官,对话/应答,对话,4,"急急忙忙往前行,高打彩球闹盈盈。迈步且把花园进,",pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,门官,薛平贵,对话/应答,对话,4,胆大花郎哪里行?,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,薛平贵,月老,对话/应答,对话,1,不好了!,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,月老,门官,对话/应答,对话,1,这旁来了一仙翁。,pdf_01000000__01003012___c2beeb2822__line__000035,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,四游人,王宝钏,对话/应答,对话,1,远远三姐来也。,pdf_01000000__01003012___c2beeb2822__line__000039,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,王宝钏,月老,对话/应答,对话,1,"手拿彩球朝下打,",pdf_01000000__01003012___c2beeb2822__line__000043,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,月老,王宝钏,对话/应答,对话,1,彩球付于薛平郎。,pdf_01000000__01003012___c2beeb2822__line__000043,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,王宝钏,月老,提及,提及,1,"回府去怎对二爹娘?姻缘本是月老掌,岂由奴家作主张。",pdf_01000000__01003012___c2beeb2822__line__000039,mention,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人甲,游人乙,对话/应答,对话,2,在我这里——无有吓!,pdf_01000000__01003012___c2beeb2822__line__000051,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人乙,游人丙,对话/应答,对话,2,在我这里——无有吓!,pdf_01000000__01003012___c2beeb2822__line__000051,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人丙,游人丁,对话/应答,对话,2,在我这里——无有吓!,pdf_01000000__01003012___c2beeb2822__line__000051,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人丁,薛平贵,对话/应答,对话,1,在我这里——无有吓!,pdf_01000000__01003012___c2beeb2822__line__000051,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,薛平贵,游人丁,对话/应答,对话,1,在这里。,pdf_01000000__01003012___c2beeb2822__line__000055,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人丁,游人甲,对话/应答,对话,1,"与你两百钱,卖于我吧。",pdf_01000000__01003012___c2beeb2822__line__000055,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人丁,四游人,对话/应答,对话,1,我剃了胡子。,pdf_01000000__01003012___c2beeb2822__line__000059,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,四游人,游人甲,对话/应答,对话,1,"有兴而来,无兴而回。回去吧。",pdf_01000000__01003012___c2beeb2822__line__000059,adjacency,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,王宝钏,薛平贵,试探,试探,3,王宝钏询问薛平贵身世，并告知彩楼招婿之事。,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,王宝钏,薛平贵,协助,协助,2,王宝钏命丫鬟取银米周济薛平贵。,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,丫鬟,王宝钏,协助,协助,1,丫鬟听从王宝钏吩咐，唤醒薛平贵并取银米。,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,薛平贵,王宝钏,汇报,汇报,1,薛平贵向王宝钏说明自己身份和处境。,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,门官,薛平贵,对抗,对抗,2,门官说‘胆大花郎哪里行？’并驱赶薛平贵,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,门官,游人丁,对抗,对抗,1,门官以年纪大为由拒绝游人丁进入,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,薛平贵,门官,对抗,对抗,1,薛平贵坚持‘偏要进去’,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,游人丁,门官,试探,试探,1,游人丁剃去胡子，与门官周旋,,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,月老,王宝钏,协助,协助,1,彩球付于薛平郎,pdf_01000000__01003012___c2beeb2822__line__000043,llm,
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,游人丁,薛平贵,试探,试探,1,"游人丁：'与你两百钱,卖于我吧。'",pdf_01000000__01003012___c2beeb2822__line__000055,llm,
