doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,【第一场】,命运与机缘,使命,1,丫鬟；王宝钏；薛平贵,王宝钏在花园偶遇乞丐薛平贵，见其相貌不凡，心生怜悯，告知其二月二日彩楼抛球招婿之事，暗示姻缘可能，并赠银米鼓励前往。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,【第一场】,阶级与身份,阶级与身份,1,丫鬟；王宝钏；薛平贵,王宝钏在花园偶遇乞丐薛平贵，见其相貌不凡，心生怜悯，告知其二月二日彩楼抛球招婿之事，暗示姻缘可能，并赠银米鼓励前往。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,1,【第一场】,【第一场】,婚姻与选择,情爱,1,丫鬟；王宝钏；薛平贵,王宝钏在花园偶遇乞丐薛平贵，见其相貌不凡，心生怜悯，告知其二月二日彩楼抛球招婿之事，暗示姻缘可能，并赠银米鼓励前往。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,【第二场】,阶级差异,阶级差异,1,四游人；月老；游人丁；游人丙；游人乙；游人甲；薛平贵；门官,众人前往王相府观看抛球招婿，门官阻拦年老的游人丁和花郎薛平贵进入，薛平贵坚持要进，门官驱赶，月老出现。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,【第二场】,姻缘天定,情爱,1,四游人；月老；游人丁；游人丙；游人乙；游人甲；薛平贵；门官,众人前往王相府观看抛球招婿，门官阻拦年老的游人丁和花郎薛平贵进入，薛平贵坚持要进，门官驱赶，月老出现。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,2,【第二场】,【第二场】,世俗偏见,世俗偏见,1,四游人；月老；游人丁；游人丙；游人乙；游人甲；薛平贵；门官,众人前往王相府观看抛球招婿，门官阻拦年老的游人丁和花郎薛平贵进入，薛平贵坚持要进，门官驱赶，月老出现。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,【第三场】,姻缘天定,情爱,1,四游人；月老；王宝钏,王宝钏登彩楼抛球选婿，未见薛平贵心生犹豫，最终在月老协助下将彩球打中薛平贵。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,【第三场】,女性自主,女性自主,1,四游人；月老；王宝钏,王宝钏登彩楼抛球选婿，未见薛平贵心生犹豫，最终在月老协助下将彩球打中薛平贵。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,3,【第三场】,【第三场】,命运抉择,使命,1,四游人；月老；王宝钏,王宝钏登彩楼抛球选婿，未见薛平贵心生犹豫，最终在月老协助下将彩球打中薛平贵。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,【第四场】,贫富对比,贫富对比,1,四游人；游人丁；游人丙；游人乙；游人甲；薛平贵,四游人寻找某物未果，薛平贵出现并持有该物，游人丁欲以两百钱购买遭拒，众人失望而归。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,4,【第四场】,【第四场】,命运无常,使命,1,四游人；游人丁；游人丙；游人乙；游人甲；薛平贵,四游人寻找某物未果，薛平贵出现并持有该物，游人丁欲以两百钱购买遭拒，众人失望而归。,llm
pdf_01000000__01003012___c2beeb2822,彩楼配,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《彩楼配》,keyword
pdf_01000000__01003012___c2beeb2822,彩楼配,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《彩楼配》,keyword
pdf_01000000__01003012___c2beeb2822,彩楼配,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《彩楼配》,keyword
