doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003014___643f99bd25,富春楼,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003014___643f99bd25,富春楼,战争,离散,1,序幕/前置内容,scene_cooccurrence
